Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs,,,,,,,
10_360_-7,-10,360,-7,2,0.01311951,0.012138085,0.079341608,-3.28E-05,-0.005209321,0.000731392,2.15113,0.3700275,1.870974,0.2150035,-0.01982218,-0.2969639,,,,,,,
10_390_-7,-10,390,-7,2,0.012879775,0.011860027,0.078817671,3.47E-05,-0.005206398,0.000654951,2.138673,0.3639092,1.872012,0.1812246,0.002822226,-0.2851462,,,,,,,
10_420_-7,-10,420,-7,2,0.012642126,0.011434932,0.078000386,9.84E-05,-0.005146158,0.000569929,2.118523,0.3576471,1.852919,0.14403,0.02400843,-0.2691423,,,,,,,
10_540_-7,-10,540,-7,3,0.029598159,0.027392565,0.178438097,-8.30E-05,-0.011716204,0.001649261,2.146797,0.3673044,1.866709,0.223792,-0.01980094,-0.3033777,,,,,,,
10_585_-7,-10,585,-7,3,0.029090121,0.026694976,0.177073904,6.81E-05,-0.011687095,0.001468033,2.131837,0.3614422,1.863861,0.1896302,0.002938886,-0.2914503,,,,,,,
10_630_-7,-10,630,-7,3,0.028653944,0.025566032,0.174724983,0.000205718,-0.011496442,0.001264004,2.105427,0.3562242,1.835937,0.1514781,0.02348903,-0.274109,,,,,,,
10_360_-5,-10,360,-5,2,0.015027276,0.011132978,0.085994692,-6.44E-05,-0.00583281,0.000689098,2.328132,0.4205101,2.090214,0.1991549,-0.03034947,-0.2703994,,,,,,,
10_390_-5,-10,390,-5,2,0.014990622,0.011074711,0.086237285,9.25E-06,-0.00592365,0.000628927,2.335961,0.4199352,2.124194,0.1709327,-0.005448648,-0.2644745,,,,,,,
10_420_-5,-10,420,-5,2,0.014871648,0.01086831,0.086347425,8.14E-05,-0.005972298,0.00056203,2.340269,0.4169527,2.14318,0.1401474,0.01888257,-0.2543463,,,,,,,
10_540_-5,-10,540,-5,3,0.033946888,0.025199249,0.193468402,-0.000148858,-0.013122751,0.001561379,2.324909,0.4186211,2.087025,0.2090943,-0.02970248,-0.2774891,,,,,,,
10_585_-5,-10,585,-5,3,0.033786095,0.024980616,0.193836509,1.99E-05,-0.013310377,0.001419384,2.330366,0.4169462,2.118052,0.1809703,-0.004100319,-0.2712766,,,,,,,
10_630_-5,-10,630,-5,3,0.033504158,0.024469948,0.193936557,0.000182508,-0.013406021,0.001260944,2.332677,0.4136695,2.134583,0.1501034,0.02048135,-0.2613724,,,,,,,
10_360_-3,-10,360,-3,2,0.017021787,0.009487972,0.092933598,-0.000100292,-0.006455551,0.00059463,2.512819,0.4726075,2.308903,0.1648499,-0.0425183,-0.2272023,,,,,,,
10_390_-3,-10,390,-3,2,0.01721389,0.009595935,0.093829833,-2.24E-05,-0.006631512,0.000545535,2.537976,0.4780416,2.372823,0.1402965,-0.01600392,-0.2256621,,,,,,,
10_420_-3,-10,420,-3,2,0.01734013,0.009563924,0.094711708,5.22E-05,-0.006774964,0.000490041,2.562737,0.481588,2.425138,0.1132999,0.009274527,-0.2200769,,,,,,,
10_540_-3,-10,540,-3,3,0.038473295,0.021536668,0.209101189,-0.000228152,-0.014515246,0.001355345,2.51029,0.4714606,2.304947,0.1758591,-0.0417917,-0.2344848,,,,,,,
10_585_-3,-10,585,-3,3,0.038870097,0.02175933,0.210899116,-5.03E-05,-0.014898077,0.001237956,2.53261,0.4763477,2.366533,0.1513939,-0.01468723,-0.2334266,,,,,,,
10_630_-3,-10,630,-3,3,0.039133722,0.021659588,0.212724953,0.000121114,-0.015204543,0.001104369,2.55527,0.4795574,2.416009,0.1242073,0.01133497,-0.22829,,,,,,,
10_360_-1,-10,360,-1,2,0.019057893,0.007105401,0.100285306,-0.000145863,-0.007095172,0.000439524,2.708316,0.5259614,2.533081,0.1088866,-0.05807956,-0.1640522,,,,,,,
10_390_-1,-10,390,-1,2,0.019507124,0.007349059,0.101748462,-6.45E-05,-0.007356657,0.0003961,2.748461,0.5381439,2.627028,0.08581219,-0.0303276,-0.1659401,,,,,,,
10_420_-1,-10,420,-1,2,0.019901447,0.007454115,0.103368544,1.25E-05,-0.007589449,0.000347415,2.792768,0.548769,2.710718,0.06074805,-0.004150357,-0.1637777,,,,,,,
10_540_-1,-10,540,-1,3,0.043115383,0.016240217,0.225705222,-0.00033112,-0.015958654,0.001010936,2.70699,0.525838,2.530474,0.1203084,-0.05765013,-0.17153,,,,,,,
10_585_-1,-10,585,-1,3,0.044096567,0.016817394,0.22870616,-0.000143541,-0.016530431,0.000908767,2.743476,0.5375666,2.621584,0.09771302,-0.02901432,-0.1744558,,,,,,,
10_630_-1,-10,630,-1,3,0.044948312,0.017078868,0.232138727,3.23E-05,-0.017041125,0.000794464,2.785076,0.5476863,2.70301,0.07305158,-0.002267048,-0.173296,,,,,,,
10_360_0,-10,360,0,2,0.019948796,0.005611524,0.104173083,-0.000171751,-0.007426447,0.000339129,2.811753,0.5494027,2.649076,0.07413332,-0.06675309,-0.1256257,,,,,,,
10_390_0,-10,390,0,2,0.020529153,0.005932894,0.105840491,-8.58E-05,-0.007720896,0.000293013,2.857202,0.5649584,2.754575,0.05007868,-0.03730362,-0.1295773,,,,,,,
10_420_0,-10,420,0,2,0.021069738,0.006057354,0.107736403,-5.81E-06,-0.007988296,0.000243958,2.908745,0.5794187,2.850337,0.02492466,-0.009989613,-0.128025,,,,,,,
10_540_0,-10,540,0,3,0.045161673,0.012841081,0.234495521,-0.000388063,-0.016705247,0.000785145,2.811144,0.5498448,2.64696,0.08540525,-0.06622064,-0.1323489,,,,,,,
10_585_0,-10,585,0,3,0.046453561,0.013617159,0.23793263,-0.000191053,-0.017350301,0.000677786,2.852673,0.5651683,2.749514,0.06196709,-0.03603124,-0.137642,,,,,,,
10_630_0,-10,630,0,3,0.047656677,0.013896754,0.242046596,-9.57E-06,-0.017942608,0.000562947,2.90224,0.5794196,2.843613,0.03729235,-0.00833746,-0.13681,,,,,,,
10_360_1,-10,360,1,2,0.020898176,0.003886095,0.107785185,-0.000196242,-0.007719925,0.000218557,2.907506,0.5752856,2.751544,0.03398862,-0.07459579,-0.08215431,,,,,,,
10_390_1,-10,390,1,2,0.021641066,0.004216415,0.109742785,-0.000110369,-0.008057779,0.000168055,2.960578,0.5952692,2.872215,0.008645165,-0.04504145,-0.08676667,,,,,,,
10_420_1,-10,420,1,2,0.022333812,0.004334545,0.112072701,-3.15E-05,-0.008376966,0.000115301,3.023598,0.6138567,2.986129,-0.0174389,-0.01796908,-0.0853734,,,,,,,
10_540_1,-10,540,1,3,0.047417078,0.008943746,0.242982227,-0.000450638,-0.017385178,0.000511454,2.911453,0.5771519,2.752917,0.04490238,-0.07531428,-0.08843854,,,,,,,
10_585_1,-10,585,1,3,0.049034024,0.009729651,0.246828094,-0.000250507,-0.018120035,0.000393532,2.957735,0.596361,2.869446,0.02004387,-0.04453809,-0.09424036,,,,,,,
10_630_1,-10,630,1,3,0.050569424,0.010017455,0.251893665,-7.11E-05,-0.018828367,0.000271224,3.018527,0.6146045,2.981686,-0.005420602,-0.01702962,-0.09385407,,,,,,,
10_360_3,-10,360,3,2,0.022203104,0.000262799,0.115079946,-0.000229747,-0.008294425,-6.01E-05,3.102025,0.6109912,2.952697,-0.05921424,-0.08477104,0.01094562,,,,,,,
10_390_3,-10,390,3,2,0.023576696,0.000523479,0.117799301,-0.000161079,-0.008751982,-0.00011372,3.174883,0.6487346,3.115456,-0.08555999,-0.06121491,0.00662963,,,,,,,
10_420_3,-10,420,3,2,0.024539863,0.000600231,0.120861177,-8.12E-05,-0.009161494,-0.000180175,3.257336,0.6745728,3.261189,-0.1159129,-0.03357963,0.008532263,,,,,,,
10_540_3,-10,540,3,3,0.050069561,0.000943654,0.258653456,-0.000488124,-0.018632748,-0.000141259,3.097581,0.6091182,2.947649,-0.05330705,-0.07982907,0.003715545,,,,,,,
10_585_3,-10,585,3,3,0.053446081,0.001420407,0.264845611,-0.000360737,-0.019670592,-0.000246349,3.17126,0.6502784,3.111696,-0.07583816,-0.06042457,6.10E-06,,,,,,,
10_630_3,-10,630,3,3,0.055608263,0.001591135,0.271601499,-0.000178644,-0.020580249,-0.000398759,3.252054,0.6760031,3.25551,-0.1055042,-0.03231924,0.001246831,,,,,,,
10_360_5,-10,360,5,2,0.023550145,-0.003372045,0.120854258,-0.000329987,-0.008768297,-0.000376844,3.254825,0.6491631,3.118086,-0.1699648,-0.119419,0.107075,,,,,,,
10_390_5,-10,390,5,2,0.025278206,-0.003544338,0.125723908,-0.000209937,-0.009411639,-0.000432941,3.385939,0.6967596,3.34711,-0.1945224,-0.07706113,0.1118968,,,,,,,
10_420_5,-10,420,5,2,0.026566441,-0.003591989,0.129731133,-0.000130024,-0.009924304,-0.000519209,3.493562,0.7315399,3.529135,-0.2314954,-0.04927329,0.1165341,,,,,,,
10_540_5,-10,540,5,3,0.053285646,-0.007433042,0.271088758,-0.000730989,-0.019658264,-0.000848343,3.24404,0.6494328,3.107238,-0.1635424,-0.1174404,0.1024273,,,,,,,
10_585_5,-10,585,5,3,0.057313085,-0.007841454,0.282779474,-0.000468407,-0.021160752,-0.000972266,3.383963,0.6984164,3.344914,-0.1866928,-0.07622077,0.1072107,,,,,,,
10_630_5,-10,630,5,3,0.060213586,-0.007911259,0.291636604,-0.000285402,-0.022299416,-0.001166526,3.489685,0.7331074,3.52463,-0.2225946,-0.04784255,0.1108371,,,,,,,
5_360_-7,-5,360,-7,2,0.006770229,0.012959781,0.088197633,-0.000171059,-0.005793016,0.000813135,2.39191,0.2022115,2.080465,0.2471738,-0.06451037,-0.3213694,,,,,,,
5_390_-7,-5,390,-7,2,0.006726126,0.012508917,0.087798068,-0.000118924,-0.005794204,0.000735712,2.383063,0.2007316,2.083457,0.212989,-0.04676402,-0.3049921,,,,,,,
5_420_-7,-5,420,-7,2,0.006708651,0.011935019,0.087153389,-6.61E-05,-0.005736867,0.000649181,2.367922,0.1996355,2.066019,0.1751181,-0.0288267,-0.2850554,,,,,,,
5_540_-7,-5,540,-7,3,0.01539904,0.02927503,0.198487047,-0.000404874,-0.013034539,0.001838973,2.388371,0.2000451,2.076563,0.2562431,-0.06697864,-0.3276744,,,,,,,
5_585_-7,-5,585,-7,3,0.015379241,0.028176608,0.197143752,-0.000281269,-0.012984641,0.001653113,2.373949,0.1994491,2.070911,0.2211829,-0.04811303,-0.3109411,,,,,,,
5_630_-7,-5,630,-7,3,0.015559007,0.026804644,0.195195558,-0.00016362,-0.01281083,0.001454166,2.352586,0.2009078,2.046097,0.1838255,-0.03019706,-0.2908219,,,,,,,
5_360_-5,-5,360,-5,2,0.007861384,0.012100526,0.095960789,-0.000213377,-0.006501496,0.000780945,2.598619,0.2321078,2.329596,0.2332946,-0.07892097,-0.296997,,,,,,,
5_390_-5,-5,390,-5,2,0.007919115,0.011983481,0.096429989,-0.000157672,-0.006615108,0.000727029,2.612823,0.2336598,2.372073,0.207241,-0.05979745,-0.2893912,,,,,,,
5_420_-5,-5,420,-5,2,0.008055664,0.011688155,0.096552594,-0.000108149,-0.006654874,0.000665998,2.617891,0.2371475,2.388607,0.1780423,-0.0429453,-0.2765565,,,,,,,
5_540_-5,-5,540,-5,3,0.017854453,0.027492672,0.216032671,-0.000493586,-0.014640331,0.001778244,2.596458,0.230076,2.328103,0.2442741,-0.08056446,-0.3050172,,,,,,,
5_585_-5,-5,585,-5,3,0.018037984,0.027157693,0.21671818,-0.000369338,-0.01486077,0.001647415,2.605966,0.2321746,2.364714,0.2177767,-0.06150485,-0.2972514,,,,,,,
5_630_-5,-5,630,-5,3,0.018728055,0.02635443,0.216004186,-0.000263233,-0.014848937,0.001504285,2.599089,0.2401522,2.36521,0.1885783,-0.04538492,-0.2834016,,,,,,,
