Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
5_900_5,5,900,5,3,-0.028484848,-0.021136435,0.500840364,-0.002392483,-0.038957061,-0.002899126,6.002307,-0.312438,6.16657,-0.540554,-0.3617501,0.3076895
7_855_5,7,855,5,3,-0.042778996,-0.020569362,0.4915384,-0.002833987,-0.037985588,-0.002790362,5.893609,-0.4858915,6.015581,-0.5176847,-0.4300594,0.2978428
11_810_5,11,810,5,3,-0.074848929,-0.025344439,0.489497624,-0.003738315,-0.037607616,-0.003307133,5.871164,-0.8748623,5.958181,-0.5929604,-0.5697734,0.3527521
3_900_5,3,900,5,3,-0.012492669,-0.019849725,0.478229056,-0.001868197,-0.037591531,-0.002793542,5.729537,-0.120474,5.948969,-0.5209121,-0.2820295,0.2886442
1_900_5,1,900,5,3,0.001878418,-0.019741914,0.465937458,-0.001431394,-0.0368154,-0.002840459,5.580804,0.05320838,5.824614,-0.5231616,-0.2162776,0.2814999
5_855_5,5,855,5,3,-0.026156018,-0.018214214,0.46203379,-0.002253089,-0.036325371,-0.002597895,5.537752,-0.2854081,5.750503,-0.486975,-0.3407314,0.2688347
9_810_5,9,810,5,3,-0.054222339,-0.019262682,0.461126072,-0.003015081,-0.035947691,-0.00263794,5.531488,-0.6252064,5.695205,-0.4864493,-0.4578652,0.2783284
3_855_5,3,855,5,3,-0.012009448,-0.017164729,0.452467389,-0.001846405,-0.035603424,-0.002482466,5.421567,-0.1152571,5.634936,-0.4654577,-0.2794041,0.2524481
9_855_3,9,855,3,3,-0.052542507,-0.008301304,0.451447675,-0.002832818,-0.03464801,-0.001718604,5.41708,-0.610118,5.493159,-0.3511529,-0.4282552,0.1533079
7_810_5,7,810,5,3,-0.038613779,-0.017520074,0.447912382,-0.0026158,-0.035105177,-0.002467693,5.371262,-0.4368876,5.560145,-0.460907,-0.3967387,0.2576863
1_855_5,1,855,5,3,0.001468861,-0.017092769,0.441437834,-0.001447466,-0.034927397,-0.002534945,5.28785,0.04769174,5.526388,-0.4690074,-0.219376,0.2461961
11_765_5,11,765,5,3,-0.066082996,-0.018265179,0.440694948,-0.003210723,-0.034379026,-0.002585598,5.288778,-0.7692408,5.448948,-0.4707425,-0.4886642,0.2622119
5_810_5,5,810,5,3,-0.024984072,-0.015611852,0.436921505,-0.002211509,-0.034364638,-0.002300121,5.237549,-0.2722277,5.440875,-0.4335827,-0.3352224,0.2335184
9_765_5,9,765,5,3,-0.051367488,-0.016645212,0.434457813,-0.002901904,-0.033882872,-0.002337409,5.21259,-0.5917582,5.369046,-0.4326882,-0.441487,0.2428426
