# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
10_180_-1,-10,180,-1,1,0.004693279,0.001735755,0.024944725,-3.44E-05,-0.001765222,0.000106805,2.698779,0.5254844,2.524194,0.08601135,-0.05719225,-0.1492778
10_180_-3,-10,180,-3,1,0.004195306,0.002337038,0.023135282,-2.24E-05,-0.001606991,0.000145534,2.507481,0.47358,2.304098,0.1406619,-0.04139229,-0.2112868
10_180_-5,-10,180,-5,1,0.003712834,0.002758882,0.021422877,-1.27E-05,-0.001452277,0.000170183,2.326327,0.4237848,2.088302,0.1763702,-0.028659,-0.2548142
10_180_-7,-10,180,-7,1,0.003254789,0.003020537,0.019736065,-4.24E-06,-0.00129499,0.000182121,2.14784,0.3757163,1.868326,0.1940624,-0.01778028,-0.2820985
10_180_0,-10,180,0,1,0.00491134,0.001378045,0.025931635,-4.19E-05,-0.001850131,8.20E-05,2.803403,0.5482903,2.64259,0.05260698,-0.0670595,-0.1135334
10_180_1,-10,180,1,1,0.005130399,0.000962638,0.02682888,-4.80E-05,-0.001923731,5.28E-05,2.898066,0.572207,2.744651,0.01348675,-0.07465501,-0.07199142
10_180_3,-10,180,3,1,0.005459403,6.49E-05,0.028667395,-5.90E-05,-0.002067793,-1.48E-05,3.093441,0.6078973,2.944926,-0.07579549,-0.08808327,0.02009465
10_180_5,-10,180,5,1,0.005817235,-0.000834211,0.030180796,-8.60E-05,-0.002190726,-9.21E-05,3.252407,0.6496372,3.114947,-0.1830161,-0.1249341,0.1136367
10_195_-1,-10,195,-1,1,0.004813994,0.001796871,0.025363211,-1.45E-05,-0.001833665,9.62E-05,2.744917,0.538812,2.622965,0.06063181,-0.0303963,-0.149458
10_195_-3,-10,195,-3,1,0.004255774,0.002373069,0.02339808,-3.01E-06,-0.001654291,0.000134089,2.537234,0.4807254,2.373245,0.1146516,-0.01545171,-0.2088998
