Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
9_400_-2,9,4.000000e+02,-2,3.500000e+00,2000,-5.650118e-02,3.192797e-02,3.094853e-01,-2.484638e-03,-1.933399e-02,1.671907e-03,2.735413e+00,1.543155e+00,1.192258e+00,-4.729263e-01,2.017176e+00,-2.490103e+00,2.253639e+00,1.754487e-01,-2.839606e-01,-2.721526e-01,-4.200369e-01,1.478842e-01
9_400_-1,9,4.000000e+02,-1,3.500000e+00,2000,-5.779932e-02,2.803488e-02,3.183239e-01,-2.631158e-03,-2.002343e-02,1.404639e-03,2.813293e+00,1.550894e+00,1.262399e+00,-4.828497e-01,2.091868e+00,-2.574718e+00,2.333293e+00,1.442478e-01,-3.009968e-01,-2.381676e-01,-4.200806e-01,1.819130e-01
9_400_0,9,4.000000e+02,0,3.500000e+00,2000,-5.891169e-02,2.384426e-02,3.266607e-01,-2.735942e-03,-2.062813e-02,1.133419e-03,2.886723e+00,1.556464e+00,1.330259e+00,-4.917626e-01,2.157480e+00,-2.649242e+00,2.403361e+00,1.131026e-01,-3.132544e-01,-2.017502e-01,-4.141295e-01,2.123793e-01
9_425_-2,9,4.250000e+02,-2,3.500000e+00,2000,-5.616069e-02,3.345990e-02,3.164459e-01,-2.468972e-03,-2.028040e-02,1.827663e-03,2.797436e+00,1.589892e+00,1.207545e+00,-4.690925e-01,2.130084e+00,-2.599177e+00,2.364631e+00,1.911736e-01,-2.814655e-01,-2.832233e-01,-4.230772e-01,1.398538e-01
9_425_-1,9,4.250000e+02,-1,3.500000e+00,2000,-5.735563e-02,2.929359e-02,3.233731e-01,-2.584122e-03,-2.082245e-02,1.531101e-03,2.858449e+00,1.585619e+00,1.272830e+00,-4.784873e-01,2.187893e+00,-2.666381e+00,2.427137e+00,1.563945e-01,-2.948499e-01,-2.470302e-01,-4.183650e-01,1.713348e-01
9_425_0,9,4.250000e+02,0,3.500000e+00,2000,-5.832578e-02,2.501084e-02,3.307496e-01,-2.705113e-03,-2.136902e-02,1.246023e-03,2.923474e+00,1.584992e+00,1.338482e+00,-4.860218e-01,2.247378e+00,-2.733399e+00,2.490389e+00,1.232549e-01,-3.089309e-01,-2.095296e-01,-4.136957e-01,2.041661e-01
9_450_-2,9,4.500000e+02,-2,3.500000e+00,2000,-5.581100e-02,3.510845e-02,3.239612e-01,-2.540394e-03,-2.123386e-02,1.953181e-03,2.864462e+00,1.634990e+00,1.229472e+00,-4.645421e-01,2.244069e+00,-2.708611e+00,2.476340e+00,2.027588e-01,-2.890159e-01,-2.949999e-01,-4.365158e-01,1.415160e-01
9_450_-1,9,4.500000e+02,-1,3.500000e+00,2000,-5.733517e-02,3.098014e-02,3.315277e-01,-2.629347e-03,-2.180108e-02,1.646242e-03,2.930934e+00,1.632633e+00,1.298301e+00,-4.772057e-01,2.303157e+00,-2.780363e+00,2.541760e+00,1.671663e-01,-2.994311e-01,-2.597515e-01,-4.293069e-01,1.695554e-01
9_450_0,9,4.500000e+02,0,3.500000e+00,2000,-5.855469e-02,2.660033e-02,3.394376e-01,-2.724381e-03,-2.235651e-02,1.347652e-03,3.000566e+00,1.633045e+00,1.367520e+00,-4.873027e-01,2.362381e+00,-2.849684e+00,2.606032e+00,1.327623e-01,-3.105739e-01,-2.220325e-01,-4.215901e-01,1.995576e-01
9_475_-2,9,4.750000e+02,-2,3.500000e+00,2000,-5.579021e-02,3.685540e-02,3.339888e-01,-2.577963e-03,-2.220974e-02,2.093749e-03,2.953635e+00,1.693142e+00,1.260493e+00,-4.628263e-01,2.359223e+00,-2.822049e+00,2.590636e+00,2.163242e-01,-2.926940e-01,-3.079896e-01,-4.466888e-01,1.386992e-01
9_475_-1,9,4.750000e+02,-1,3.500000e+00,2000,-5.749548e-02,3.261256e-02,3.420471e-01,-2.667138e-03,-2.284179e-02,1.780067e-03,3.024345e+00,1.692480e+00,1.331865e+00,-4.773297e-01,2.424924e+00,-2.902253e+00,2.663588e+00,1.803071e-01,-3.031863e-01,-2.719320e-01,-4.391523e-01,1.672203e-01
9_475_0,9,4.750000e+02,0,3.500000e+00,2000,-5.902602e-02,2.810354e-02,3.505349e-01,-2.761076e-03,-2.342719e-02,1.465320e-03,3.098993e+00,1.693629e+00,1.405364e+00,-4.903567e-01,2.486159e+00,-2.976515e+00,2.731337e+00,1.441325e-01,-3.142349e-01,-2.334258e-01,-4.309478e-01,1.975219e-01
9_500_-2,9,5.000000e+02,-2,3.500000e+00,2000,-5.601740e-02,3.907032e-02,3.449873e-01,-2.574984e-03,-2.317400e-02,2.240450e-03,3.051393e+00,1.756514e+00,1.294878e+00,-4.633912e-01,2.471884e+00,-2.935275e+00,2.703580e+00,2.308181e-01,-2.917179e-01,-3.258113e-01,-4.546235e-01,1.288122e-01
9_500_-1,9,5.000000e+02,-1,3.500000e+00,2000,-5.779735e-02,3.454961e-02,3.535099e-01,-2.688333e-03,-2.387746e-02,1.915050e-03,3.126150e+00,1.756393e+00,1.369758e+00,-4.785500e-01,2.545543e+00,-3.024093e+00,2.784818e+00,1.933177e-01,-3.049783e-01,-2.868537e-01,-4.484052e-01,1.615514e-01
