Case,Cone_Angle,Omega_RPM,Pitch_Angle,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Vz_ms,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f)
5_5_-3,5,5,-3,1463,-0.001147079,0.000400633,0.010175256,-0.000139832,-0.000478612,5.81E-06,1,0.5577659,0.5428461,-0.1258831,0.6216425,-0.7475256,0.6845841,0.007459929,-0.2003262,-0.04277937,-0.2217159,0.1789365
5_6.25_-3,5,6.25,-3,1513,-0.001797095,0.000625763,0.015937912,-0.000219098,-0.000749479,8.99E-06,1.25,0.5587889,0.543799,-0.1260393,0.6227016,-0.748741,0.6857213,0.007494967,-0.2007349,-0.04282062,-0.2221452,0.1793246
5_7.5_-3,5,7.5,-3,1519,-0.002592321,0.000901004,0.02299119,-0.000316178,-0.001081088,1.29E-05,1.5,0.5595347,0.5444765,-0.1261074,0.6235481,-0.7496555,0.6866018,0.007529086,-0.2010496,-0.04285343,-0.2224763,0.1796229
5_8.75_-3,5,8.75,-3,1525,-0.003532983,0.001226403,0.031335811,-0.000431086,-0.001473493,1.74E-05,1.75,0.560105,0.5449934,-0.1261413,0.6242389,-0.7503802,0.6873095,0.007555769,-0.2013001,-0.04288113,-0.2227407,0.1798595
5_10_-3,5,10,-3,1542,-0.004619198,0.001602053,0.04097163,-0.000563812,-0.001926697,2.27E-05,2,0.5605486,0.5453961,-0.1261589,0.6248011,-0.75096,0.6878806,0.007576272,-0.2014977,-0.04290667,-0.222951,0.1800444
5_11.25_-3,5,11.25,-3,2000,-0.0058527,0.00202819,0.051903754,-0.000714331,-0.002440643,2.87E-05,2.25,0.5609626,0.5457641,-0.1262064,0.6252279,-0.7514342,0.6883311,0.007599246,-0.2016497,-0.04293655,-0.223118,0.1801815
5_12.5_-3,5,12.5,-3,2000,-0.007230037,0.002504079,0.06411879,-0.000882667,-0.003015387,3.53E-05,2.5,0.5612129,0.5459864,-0.1261986,0.6256085,-0.7518071,0.6887078,0.007613243,-0.2017749,-0.04294984,-0.2232499,0.1803
5_13.75_-3,5,13.75,-3,2000,-0.008752724,0.003030161,0.077621308,-0.001068794,-0.003650865,4.27E-05,2.75,0.5613993,0.5461491,-0.1261851,0.625921,-0.7521061,0.6890135,0.007625144,-0.2018748,-0.04296156,-0.2233556,0.180394
5_15_-3,5,15,-3,2000,-0.010420638,0.003606334,0.092409377,-0.001272686,-0.004347001,5.07E-05,3,0.561531,0.5462585,-0.1261665,0.6261711,-0.7523376,0.6892544,0.007636269,-0.2019521,-0.04297065,-0.2234374,0.1804668
5_20_-3,5,20,-3,1266,-0.001214593,0.000429684,0.010466427,-0.000131947,-0.000487142,7.58E-06,1,0.5740473,0.5579194,-0.1336411,0.6300242,-0.7636654,0.6968448,0.008063935,-0.1886513,-0.0459172,-0.2116099,0.1656927
5_25.0_-3,5,25,-3,1316,-0.001904764,0.000669131,0.016397165,-0.000206715,-0.00076282,1.15E-05,1.25,0.5752557,0.5589774,-0.1338615,0.6310466,-0.7649081,0.6979774,0.008139161,-0.1890564,-0.04585649,-0.2119846,0.1661281
5_30.0_-3,5,30,-3,1373,-0.002749791,0.000961536,0.023659172,-0.00029827,-0.001100435,1.62E-05,1.5,0.5761966,0.5597754,-0.1339862,0.6319394,-0.7659256,0.6989325,0.008210571,-0.1893637,-0.04582551,-0.2122764,0.1664509
5_35.0_-3,5,35,-3,1510,-0.003750296,0.001306299,0.032253312,-0.000406642,-0.001499955,2.17E-05,1.75,0.5769313,0.5604193,-0.1340802,0.6326523,-0.7667325,0.6996924,0.008256017,-0.1896141,-0.04578025,-0.2125042,0.1667239
5_40_-3,5,40,-3,2000,-0.004905404,0.001703455,0.04217629,-0.000531818,-0.001961424,2.80E-05,2,0.5774741,0.5608914,-0.1341262,0.633253,-0.7673792,0.7003161,0.008291363,-0.1898129,-0.04573472,-0.2126802,0.1669455
5_40_-3,5,40,-3,1825,-0.001506734,0.000626471,0.012226637,-0.000137881,-0.000560115,1.55E-05,1,0.6785938,0.6439467,-0.1647881,0.7190314,-0.8838195,0.8014255,0.01732354,-0.1966824,-0.06760883,-0.2304868,0.162878
5_45.0_-3,5,45,-3,2000,-0.006214371,0.002153048,0.053422849,-0.000673759,-0.002484721,3.51E-05,2.25,0.5778283,0.5612013,-0.1341296,0.6337327,-0.7678623,0.7007975,0.00831349,-0.1899626,-0.04569112,-0.2128082,0.1671171
5_50.0_-3,5,50,-3,1931,-0.002363006,0.000974362,0.019154418,-0.000216016,-0.000877306,2.35E-05,1.25,0.6799459,0.6452102,-0.1651073,0.7203674,-0.8854747,0.8029211,0.01736786,-0.1971615,-0.06733726,-0.2308302,0.1634929
5_50.0_-3,5,50,-3,2000,-0.007678031,0.002655206,0.06599541,-0.000832475,-0.003069874,4.30E-05,2.5,0.5780915,0.5614308,-0.1341256,0.6341227,-0.7682483,0.7011855,0.008330343,-0.1900815,-0.04565348,-0.2129082,0.1672547
5_55.0_-3,5,55,-3,2000,-0.009296467,0.00321004,0.079893313,-0.001007965,-0.003716866,5.16E-05,2.75,0.5782888,0.5616004,-0.1341182,0.6344422,-0.7685603,0.7015013,0.008344209,-0.1901779,-0.0456221,-0.2129889,0.1673669
5_60_-3,5,60,-3,2000,-0.011069553,0.003817571,0.095114531,-0.001200212,-0.004425646,6.10E-05,3,0.5784308,0.5617143,-0.1341068,0.6347013,-0.7688081,0.7017547,0.008358277,-0.1902548,-0.0455958,-0.2130527,0.1674569
5_60.0_-3,5,60,-3,2000,-0.003411382,0.001398219,0.027633771,-0.000311668,-0.00126567,3.31E-05,1.5,0.6808485,0.646147,-0.1653126,0.7214074,-0.8867199,0.8040637,0.01735076,-0.1975058,-0.0671243,-0.231068,0.1639437
5_60_-3,5,60,-3,1949,-0.001865862,0.00101446,0.015042266,-0.000155241,-0.000701823,3.34E-05,1,0.853626,0.7761168,-0.198428,0.9063931,-1.104821,1.005607,0.03875461,-0.220915,-0.1071051,-0.2744675,0.1673625
5_70.0_-3,5,70,-3,2000,-0.004652334,0.001898323,0.037665286,-0.000424854,-0.001725143,4.42E-05,1.75,0.6815006,0.646867,-0.1654699,0.7221771,-0.8876469,0.804912,0.01731679,-0.1977708,-0.06696247,-0.231252,0.1642895
5_75.0_-3,5,75,-3,2000,-0.00292297,0.001583177,0.023573302,-0.000243395,-0.001099405,5.15E-05,1.25,0.8557075,0.7775066,-0.1992449,0.9078584,-1.107103,1.007481,0.03910042,-0.2216796,-0.1072535,-0.2753063,0.1680529
5_80_-3,5,80,-3,2000,-0.00223706,0.001685376,0.018853633,-0.00017713,-0.000949854,5.65E-05,1,1.087848,0.9580764,-0.2300241,1.248116,-1.47814,1.363128,0.06488565,-0.2513618,-0.1772513,-0.3399875,0.1627362
5_80_-3,5,80,-3,2000,-0.006085135,0.002474465,0.049247246,-0.000555572,-0.002255812,5.69E-05,2,0.681977,0.6474003,-0.1655709,0.7228071,-0.888378,0.8055925,0.01728837,-0.1979788,-0.06682726,-0.2313924,0.1645651
5_90.0_-3,5,90,-3,2000,-0.00770973,0.00312693,0.062378166,-0.000703813,-0.002857654,7.12E-05,2.25,0.682324,0.6477928,-0.1656365,0.7233214,-0.8889578,0.8061396,0.01726563,-0.1981435,-0.06671859,-0.2315028,0.1647842
5_90.0_-3,5,90,-3,2000,-0.004215897,0.002277727,0.03401834,-0.000351392,-0.001586224,7.32E-05,1.5,0.857125,0.7785666,-0.1998078,0.9089736,-1.108781,1.008878,0.0392792,-0.2222504,-0.1073673,-0.275934,0.1685667
