Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
10_240_-10,10,240,-10,0.034347612000000007,0.032193862600000005,0.1935580559999999,-0.00470587022,-0.012514800200000007,0.0028971493
10_120_-10,10,120,-10,0.0164551564,0.0159873868,0.0945123146,-0.0017376661,-0.005305621740000001,0.00123051952
5_60_-10,5,60,-10,0.005665586780000001,0.011214225199999999,0.0660140964,-0.0009405921420000005,-0.00333494574,0.0006763039700000001
0_120_-10,0,120,-10,1.1384920178000003e-05,0.016906389400000003,0.10209820800000005,-0.0019330338999999999,-0.005282986760000001,0.000919106668
0_480_-10,0,480,-10,-0.0007619632561999997,0.9259115119999999,5.279041079999998,-0.08101054200000002,-0.25735684999999997,0.046286434200000004
10_60_-10,10,60,-10,0.0110328706,0.0109486228,0.06364200019999999,-0.0008800438380000001,-0.0034147700800000007,0.0007660975640000001
5_120_-10,5,120,-10,0.008558036499999998,0.016463275199999995,0.09878161140000001,-0.0018442056599999998,-0.005307639940000001,0.0010820711199999997
0_360_-10,0,360,-10,-0.00213075708,0.37761414400000004,2.17413276,-0.033756665199999994,-0.10368055200000002,0.018674202600000005
5_360_-10,5,360,-10,0.18275406000000005,0.37746683200000014,2.150961659999999,-0.033257677400000005,-0.10818808799999999,0.022424754000000005
0_60_-10,0,60,-10,-1.681199e-05,0.011471401400000001,0.06773350780000001,-0.0009827621379999998,-0.0032435058800000006,0.0005789496200000001
10_480_-10,10,480,-10,1.27587194,1.3408962199999999,7.414010180000003,-0.10312744219999999,-0.39434192,0.08992748059999998
10_360_-10,10,360,-10,0.3408319860000002,0.352334846,1.9864344000000003,-0.030015545,-0.10438056199999998,0.0243307684
5_480_-10,5,480,-10,0.4909933040000001,1.014861648,5.7357707,-0.0867905742,-0.292081446,0.06033683899999999
0_240_-10,0,240,-10,0.00045829899400000004,0.03328298899999999,0.20386610199999997,-0.005119880800000001,-0.012550055,0.00206519092
5_240_-10,5,240,-10,0.017990405,0.03284624099999999,0.201414702,-0.004998553180000001,-0.012710600399999999,0.0025201873200000006
#Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_60_-5,5,60,-5,0.005703504919999999,0.00547143618,0.06665284620000002,-0.0010274055400000001,-0.0033563454,0.00038281991400000004
0_480_-5,0,480,-5,-0.006204003919999999,0.5541579860000002,6.3755489,-0.09962784239999997,-0.305796874,0.027194908399999992
10_480_-5,10,480,-5,1.05640034,0.559001804,6.13269442,-0.09769329899999998,-0.3288892619999999,0.04693264180000001
5_480_-5,5,480,-5,0.5872813200000001,0.6187196199999999,6.93613994,-0.10983288799999999,-0.35069868200000004,0.04083026879999999
0_360_-5,0,360,-5,-0.0033751730599999997,0.192048506,2.26674744,-0.036261233799999994,-0.10706689800000001,0.009580054199999999
10_360_-5,10,360,-5,0.356611252,0.18391883999999997,2.06993712,-0.034759045,-0.110099646,0.015973729399999997
0_60_-5,0,60,-5,-3.3687586000000014e-05,0.0055823049000000005,0.0684889692,-0.0010447532999999997,-0.0032637594199999994,0.000286882648
10_120_-5,10,120,-5,0.016254265599999998,0.007484681340000002,0.09353749360000002,-0.0018426711999999998,-0.00520593022,0.0007568332419999998
10_60_-5,10,60,-5,0.011097416599999998,0.0053392795,0.0641328058,-0.000991226576,-0.0034334166600000003,0.00047410529000000014
5_240_-5,5,240,-5,0.016600626800000004,0.013975651000000002,0.186619198,-0.004761831239999999,-0.011558864800000004,0.0012739110799999996
0_120_-5,0,120,-5,-3.4213061352e-06,0.00784101486,0.10129885200000001,-0.0019573818,-0.00519216108,0.00043489183
5_360_-5,5,360,-5,0.18415239999999997,0.189887674,2.16737224,-0.035780259999999994,-0.10868004399999999,0.012806874599999995
0_240_-5,0,240,-5,0.0004150154560000002,0.0146767016,0.19778194600000001,-0.005064538039999999,-0.012068313399999997,0.0008982149059999997
5_120_-5,5,120,-5,0.008468016359999999,0.007707256219999999,0.09805596799999998,-0.0019147380800000006,-0.005214185100000002,0.000600886482
10_240_-5,10,240,-5,0.03054604079999999,0.013394837400000002,0.17327657600000002,-0.00438929436,-0.010856356000000001,0.0015864120799999994
#Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_480_0,5,480,0,0.709495926,0.011232948509999998,8.364045399999998,-0.13863659200000003,-0.41361995799999995,0.012111192199999996
0_480_0,0,480,0,-0.006613459360000002,-0.001059521648,6.27815748,-0.10337149840000004,-0.3005032159999999,0.00011989961299999992
0_60_0,0,60,0,-4.1051624e-05,-0.0003196455039999999,0.06851729840000002,-0.00110026028,-0.0032464488800000003,-3.1044109600000007e-06
5_60_0,5,60,0,0.0057023327999999995,-0.0002945691300000001,0.066633553,-0.0011084741,-0.00334257646,9.03511538e-05
5_240_0,5,240,0,0.0159022912,-0.0022744982200000002,0.17984539199999997,-0.0047598623599999995,-0.0108847428,0.000246743038
5_120_0,5,120,0,0.008243171799999999,-0.0007844935560000002,0.09560095919999996,-0.0019549250199999996,-0.005023100220000001,0.00014119541599999996
0_120_0,0,120,0,4.639619280000001e-06,-0.0008788037359999998,0.0990341988,-0.001960630840000001,-0.005015233320000001,-2.400819920000001e-05
0_240_0,0,240,0,0.000465671666,-0.0023758459599999993,0.17543257200000004,-0.004482280759999999,-0.010412936400000003,-0.00014524411000000002
0_360_0,0,360,0,-0.0033527963599999998,-0.0031598750000000004,2.2719006399999997,-0.037883579800000004,-0.10697967600000004,3.8436801737999994e-05
5_360_0,5,360,0,0.18820250399999996,0.00040697279580000003,2.21737338,-0.038971785,-0.11068961800000002,0.0033117240599999996
#Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_360_5,5,360,5,0.17832217000000003,-0.1832676479999999,2.09067138,-0.03937894860000001,-0.10372256800000003,-0.005818017399999999
10_120_5,10,120,5,0.015427635000000002,-0.008516348660000003,0.08866481379999998,-0.0019934898000000005,-0.004800870959999999,-0.00011591574799999996
5_240_5,5,240,5,0.0144273052,-0.016475099400000002,0.16120002,-0.004428660879999997,-0.009558539280000002,-0.0006082372200000001
5_120_5,5,120,5,0.0079500029,-0.008795185440000002,0.09213329800000002,-0.0019793992800000004,-0.00476628334,-0.00028107317599999996
10_240_5,10,240,5,0.02681649340000001,-0.0151861522,0.152617132,-0.00430179128,-0.0090783274,-0.00020560123799999997
0_240_5,0,240,5,0.00035962989199999994,-0.016677679000000004,0.164791828,-0.0043163192800000005,-0.00946481658,-0.000981733478
0_120_5,0,120,5,2.1367367700000004e-06,-0.009120840559999998,0.09512691140000003,-0.0019382854200000002,-0.004740020600000001,-0.000444159422
0_480_5,0,480,5,-0.00034204919659999993,-0.4713974420000001,5.342441580000001,-0.09415406600000001,-0.2564686660000001,-0.022610184800000006
0_60_5,0,60,5,-4.391090680000001e-05,-0.006174941659999999,0.0677653416,-0.0011480353800000002,-0.0031896626199999995,-0.00028769475
5_480_5,5,480,5,0.45230031200000015,-0.45543627600000003,5.2549873200000015,-0.0987272794,-0.26570497199999993,-0.0150138914
0_360_5,0,360,5,-0.00236873334,-0.18616651599999998,2.10286006,-0.036981912799999996,-0.0982717482,-0.0087071054
5_60_5,5,60,5,0.005614855579999999,-0.005991339460000002,0.065639476,-0.0011749913199999998,-0.003268900279999999,-0.00019563684199999992
10_60_5,10,60,5,0.010935297399999998,-0.00583383178,0.0631650108,-0.0011895436399999998,-0.003357427139999999,-0.00010341257999999999
10_360_5,10,360,5,0.3589131559999999,-0.1810327979999999,2.0718522200000007,-0.041261382000000006,-0.10950465999999999,-0.0028383396799999995
10_480_5,10,480,5,0.9614168720000003,-0.48127373600000006,5.52720184,-0.10863490999999995,-0.296387528,-0.007780187239999997
#Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
0_60_10,0,60,10,-5.4581245799999994e-05,-0.011817917800000004,0.06627845640000002,-0.00118237268,-0.003105853419999999,-0.0005618989040000001
5_240_10,5,240,10,16.592151400000002,1.3632689679999996,-0.410804358,-0.0139576908,0.029979546800000003,-0.154194896
0_120_10,0,120,10,-6.406864702000001e-06,-0.016621173600000004,0.09068751679999996,-0.0019044585600000005,-0.0044488667999999995,-0.0008194224200000002
0_480_10,0,480,10,-0.008815288979999997,-1.5085316400000004,8.660991319999999,-0.15441737600000008,-0.40570456999999993,-0.07355728060000001
