# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_0_-5,0,0,-5,250.0,-0.0014151472506000002,0.004116809095600001,0.05385989834,-0.0007362591525799997,-0.002628518938140001,0.00019348800776200002
5_0_0,5,0,0,250.0,-0.006293669193019999,-0.0006461082324,0.054036277013999996,-0.00078646539856,-0.0025346692311800003,-0.00011980325741999998
10_540_0,10,540,0,250.0,-1.74292219044726,-0.11152902794160002,8.227400809560002,-0.10271809310920003,-0.379622908512,-0.026695353183999997
10_540_-5,10,540,-5,250.0,-1.7107835910207596,0.6254330038999999,7.969983021320001,-0.095127161886,-0.34814786166800005,0.007322116910000002
5_420_0,5,420,0,250.0,-0.4217003302180001,-0.052495853816,3.4622782572600004,-0.04251882715760002,-0.16626886845260003,-0.007711438775999997
0_540_-5,0,540,-5,250.0,-0.41203435335999994,1.0351169505799998,13.79280775306,-0.16466251889800002,-0.6729134122079999,0.048142848046000004
10_0_0,10,0,0,250.0,-0.011009613367300003,-0.0005255944191999998,0.05303338680000001,-0.0007577914829599999,-0.0023606728965200005,-0.00017464071263999993
0_420_-5,0,420,-5,250.0,-0.14994094000000005,0.36517606842000017,4.77210042684,-0.054498801123000006,-0.22967903406600002,0.016563229254000004
10_420_0,10,420,0,250.0,-0.7507038936320001,-0.04661761993912002,3.5171503877999997,-0.0430194716526,-0.1632230217628,-0.011132937400000001
10_360_0,10,360,0,250.0,-0.4958958557419999,-0.027499338853999987,2.2876098623399996,-0.027421039228800004,-0.10392720225219992,-0.006986657533999999
5_420_-5,5,420,-5,250.0,-0.44242700375399996,0.2601944532540001,3.6501090475800004,-0.0420388829632,-0.16744791674140005,0.007625755505999999
5_540_0,5,540,0,250.0,-0.8882401767740001,-0.10180507281000001,7.197609469820002,-0.0882530800006,-0.3404202764319999,-0.015985332323999995
0_0_0,0,0,0,250.0,-0.0013381696723800001,-0.0005836373164800001,0.05432084890000001,-0.0008211691018799998,-0.00265292086008,-3.20483626e-05
10_420_-5,10,420,-5,250.0,-0.9741465891392139,0.35224865628,4.569010802120001,-0.055352426972730004,-0.202942208266,0.004102839352
0_420_0,0,420,0,250.0,-0.10791816576800001,-0.037726738484,3.5872404948000005,-0.04475797901100002,-0.1757871733128,-0.0020449741099999997
0_360_-5,0,360,-5,250.0,-0.07413108934000001,0.174925840472,2.2128787918600006,-0.023803581021599997,-0.10500132564640002,0.007982407938000004
10_360_-5,10,360,-5,250.0,-0.515854211316,0.18822476312199993,2.3726171227199995,-0.027838928463656,-0.103548731362,0.002232052482
5_540_-5,5,540,-5,250.0,-1.1569135709206002,0.7164678301800003,9.78709247836,-0.11666750995700001,-0.45387194998000013,0.021015726406
0_540_0,0,540,0,250.0,-0.28188415504000003,-0.09860613402800003,8.9530938724,-0.11414327675100001,-0.430222074562,-0.005334048002
10_0_-5,10,0,-5,250.0,-0.010833846024399999,0.0041713331034,0.05258317436599999,-0.0007293976918,-0.0023127908276600008,4.354312552859999e-05
5_360_-5,5,360,-5,250.0,-0.28219697614399997,0.17226503412400002,2.30826278964,-0.02603859042508,-0.10514584466759995,0.0052100262120000004
5_0_-5,5,0,-5,250.0,-0.006151733064980002,0.0039805110561999995,0.05390831709199998,-0.0007384235483399999,-0.00248384840292,0.000117261462254
0_360_0,0,360,0,250.0,-0.06954289551599999,-0.023494568725999993,2.20309377436,-0.026939976696600004,-0.10683160105119999,-0.0011248659899999996
5_360_0,5,360,0,250.0,-0.253067221102,-0.027193337462000006,2.0231740696000005,-0.0237738587758,-0.09571945122919996,-0.0041774355680000005
