Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
5_120_-1,5,120,-1,3,-0.013736149,0.001700515,0.111656199,-0.001298662,-0.005163449,-0.0000533
5_180_-1,5,180,-1,3,-0.017162298,0.004596337,0.13861831,-0.001474408,-0.006504015,0.0000723
5_240_-1,5,240,-1,3,-0.020660166,0.009566317,0.175746672,-0.001720138,-0.008852039,0.000247035
5_300_-1,5,300,-1,3,-0.021939801,0.014613436,0.218203192,-0.001887554,-0.012499161,0.000690393
5_330_-1,5,330,-1,3,-0.021218804,0.01546051,0.226344744,-0.001896345,-0.013677777,0.000816279
5_360_-1,5,360,-1,3,-0.020039467,0.01616965,0.23309398,-0.001885153,-0.014641783,0.000896984
5_390_-1,5,390,-1,3,-0.018940466,0.017346606,0.242002658,-0.00186555,-0.015653012,0.000966515
5_405_-1,5,405,-1,3,-0.018611067,0.018197168,0.248001599,-0.001839009,-0.016218828,0.00100414
5_420_-1,5,420,-1,3,-0.018443131,0.01899756,0.254340496,-0.001819788,-0.016772251,0.001034103
5_435_-1,5,435,-1,3,-0.018309484,0.019737801,0.260563345,-0.00180889,-0.01731653,0.001057983
5_450_-1,5,450,-1,3,-0.018207789,0.020398974,0.266743769,-0.001800098,-0.017850942,0.001077635
5_465_-1,5,465,-1,3,-0.018145077,0.020930672,0.272810464,-0.001795122,-0.01836842,0.001093289
5_480_-1,5,480,-1,3,-0.018133275,0.021184461,0.278672655,-0.00179086,-0.018849389,0.0011071
5_495_-1,5,495,-1,3,-0.018284123,0.020718276,0.284495159,-0.001797304,-0.019241159,0.001107979
5_510_-1,5,510,-1,3,-0.018430748,0.020120911,0.289043525,-0.00181606,-0.019578786,0.001099275
5_540_-1,5,540,-1,3,-0.01834152,0.020109544,0.297878808,-0.001812872,-0.020370735,0.001088147
5_570_-1,5,570,-1,3,-0.017979238,0.020719251,0.305814887,-0.001776133,-0.021134466,0.001073432
5_600_-1,5,600,-1,3,-0.016845969,0.017839346,0.297379929,-0.001607579,-0.021164176,0.001057749
