# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_60_0,0,60,0,100,0.000141355,0.000222443,0.015620775,-0.000275367,0.00107908,-2.15E-05
0_0_0,0,0,0,100,3.18E-05,-3.55E-05,0.008029798,-0.00010571,0.000552201,1.33E-06
0_120_0,0,120,0,100,0.000584641,-0.000567748,0.062453105,-0.001238282,0.004662296,6.35E-06
0_60_0,0,60,0,200,0.000541232,-0.000119395,0.038900845,-0.000590993,0.00251577,-3.78E-06
0_0_0,0,0,0,200,0.000107934,-0.000182842,0.031978035,-0.000418941,0.002199149,8.22E-06
0_120_0,0,120,0,200,0.000676212,0.001066996,0.061949912,-0.001078964,0.004210337,-7.52E-05
0_60_0,0,60,0,300,0.000660178,-8.47E-05,0.076743857,-0.001111096,0.005065057,-7.55E-06
0_0_0,0,0,0,300,0.000223702,-0.000428614,0.071859831,-0.000940047,0.004940193,2.11E-05
0_120_0,0,120,0,300,0.001649704,-0.00104187,0.102361849,-0.001633761,0.006652971,4.75E-05
0_60_0,0,60,0,400,0.000875659,-0.00024841,0.130454292,-0.001838127,0.008685802,-5.80E-08
0_0_0,0,0,0,400,0.000370631,-0.00079612,0.127686687,-0.00166897,0.008776687,4.00E-05
0_120_0,0,120,0,400,0.002063525,-0.000628035,0.155308933,-0.002357333,0.010039598,1.62E-05
# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
