Case,Cone Angle,Omega,Pitch Angle,vz,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
10_240_-10,10,240,-10,5,0.065827274,0.063894662,0.38071361,-0.006773817,-0.021426802,0.005013851
10_180_-10,10,180,-10,5,0.051020998,0.049892273,0.297509978,-0.004281322,-0.015585324,0.003574678
0_480_-10,0,480,-10,5,0.003263039,0.128733382,0.780447642,-0.019614306,-0.048353159,0.008435018
0_180_-10,0,180,-10,5,5.90E-05,0.053608615,0.324318118,-0.004896971,-0.015337655,0.002794119
0_360_-10,0,360,-10,5,0.001708437,0.093257564,0.566216068,-0.012636901,-0.032515782,0.005708196
5_360_-10,5,360,-10,5,0.050098189,0.092638844,0.559279184,-0.012233595,-0.032832228,0.00678132
10_480_-10,10,480,-10,5,0.13922414,0.132085932,0.784871222,-0.018739702,-0.050881143,0.01207802
10_360_-10,10,360,-10,5,0.094960618,0.090543903,0.53806371,-0.011432214,-0.032609974,0.007723436
5_480_-10,5,480,-10,5,0.069014343,0.126707978,0.76156376,-0.018544621,-0.047674011,0.009834482
0_240_-10,0,240,-10,5,0.000378047,0.068027675,0.413069268,-0.007614984,-0.021272422,0.00382201
5_240_-10,5,240,-10,5,0.034806488,0.066139654,0.398682662,-0.007242032,-0.021398864,0.004447935
5_180_-10,5,180,-10,5,0.026950722,0.052095831,0.313473504,-0.004648567,-0.015527939,0.003216691
#Case,Cone Angle,Omega,Pitch Angle,5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
0_480_-5,0,480,-5,5,0.002784339,0.058436249,0.771724774,-0.019336588,-0.046654507,0.003813682
10_480_-5,10,480,-5,5,0.132993578,0.05953778,0.750801294,-0.01845357,-0.047022621,0.007100162
10_180_-5,10,180,-5,5,0.051494259,0.024136981,0.299211344,-0.004770552,-0.01545573,0.002216093
5_480_-5,5,480,-5,5,0.069929247,0.061618997,0.770949648,-0.019340641,-0.047642661,0.005764329
5_180_-5,5,180,-5,5,0.026809522,0.025071572,0.314615948,-0.004970223,-0.015520901,0.001854739
0_360_-5,0,360,-5,5,0.001516825,0.041633376,0.553430576,-0.01243288,-0.031386468,0.002611477
10_360_-5,10,360,-5,5,0.091097898,0.041217284,0.518071518,-0.01165819,-0.030794536,0.004629438
5_240_-5,5,240,-5,5,0.034398159,0.031406179,0.396131758,-0.007497339,-0.021030679,0.002545383
0_180_-5,0,180,-5,5,-0.000158986,0.025294213,0.327878484,-0.005185303,-0.015483471,0.001384873
5_360_-5,5,360,-5,5,0.04869458,0.042882848,0.5428041,-0.012179344,-0.031426251,0.003797848
0_240_-5,0,240,-5,5,0.000205056,0.031202239,0.41206229,-0.007781088,-0.021111249,0.001839794
