Case,Cone Angle,Omega,Pitch Angle,v_z,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_60_10,5,60,10,2.5,-6.041098048,12.01342804,-58.51465222,-0.33755779,-9.377653645,-1.886779102
5_120_10,5,120,10,2.5,-4.098993172,8.167240758,-39.80799464,-0.230083403,-6.383941366,-1.283896891
0_60_-10,0,60,-10,2.5,0.000624048,0.009646749,0.054935119,-0.000569865,0.003617946,-0.000638828
5_60_-10,5,60,-10,2.5,0.005836803,0.010058744,0.055808637,-0.000591885,0.003529016,-0.000583155
0_60_-5,0,60,-5,2.5,0.00060119,0.004846671,0.056270847,-0.000615315,0.003736254,-0.00032877
0_60_10,0,60,10,2.5,0.00053608,-0.010174014,0.056426398,-0.000747825,0.003851956,0.00068048
20_60_-10,20,60,-10,2.5,0.023266257,0.010557924,0.056529132,-0.000596012,0.003153024,-0.000367151
20_60_5,20,60,5,2.5,0.022237615,-0.005406651,0.056573754,-0.000740015,0.0033933,0.00052573
20_60_10,20,60,10,2.5,0.022327526,-0.010352712,0.056612118,-0.000780559,0.003445998,0.000849998
10_60_-10,10,60,-10,2.5,0.011483405,0.010307852,0.056836349,-0.000607779,0.003421312,-0.000509854
0_60_0,0,60,0,2.5,0.000567396,-0.000131228,0.056875557,-0.000663998,0.003828832,-6.59E-06
20_60_0,20,60,0,2.5,0.022622667,-0.000553029,0.056950443,-0.000705669,0.003282121,0.000216896
0_60_5,0,60,5,2.5,0.000546753,-0.00514495,0.056962999,-0.000705467,0.003852468,0.000335921
5_60_-5,5,60,-5,2.5,0.005821438,0.005126985,0.057107462,-0.00063791,0.003649982,-0.000277083
20_60_-5,20,60,-5,2.5,0.023325865,0.005043673,0.05741461,-0.000650754,0.003167784,-8.27E-05
10_60_10,10,60,10,2.5,0.011142041,-0.010328526,0.057493405,-0.000773703,0.003680733,0.000777449
5_60_5,5,60,5,2.5,0.005770942,-0.005094493,0.057725083,-0.000725088,0.00376953,0.000384666
5_60_0,5,60,0,2.5,0.005792243,2.19E-05,0.057725581,-0.000681386,0.003731426,4.79E-05
10_60_-5,10,60,-5,2.5,0.011359897,0.005149563,0.05785085,-0.000653324,0.003547046,-0.000213955
10_60_5,10,60,5,2.5,0.011151063,-0.005160786,0.05804059,-0.000733149,0.003683627,0.000439116
10_60_0,10,60,0,2.5,0.011188061,1.95E-06,0.058088084,-0.000691235,0.003638026,0.000106086
0_120_-10,0,120,-10,2.5,0.000866054,0.014203682,0.076529179,-0.000661359,0.005416133,-0.00100133
5_120_-10,5,120,-10,2.5,0.008047731,0.014902443,0.078423596,-0.000708172,0.005400516,-0.000962865
20_120_-10,20,120,-10,2.5,0.031693761,0.015244176,0.078773612,-0.000775961,0.005117477,-0.00071204
10_120_-10,10,120,-10,2.5,0.015735263,0.015141861,0.079743741,-0.000743351,0.005330181,-0.000890275
0_120_-5,0,120,-5,2.5,0.000872194,0.007924528,0.08049124,-0.000735501,0.005779131,-0.000569551
5_120_-5,5,120,-5,2.5,0.008309082,0.008433291,0.082610237,-0.000791845,0.005780262,-0.000525419
20_120_-5,20,120,-5,2.5,0.032943314,0.008485568,0.083249492,-0.000884445,0.005482131,-0.00029694
0_120_0,0,120,0,2.5,0.000951377,0.000969252,0.083659358,-0.000822599,0.006107142,-8.86E-05
10_120_-5,10,120,-5,2.5,0.01630824,0.008545454,0.084080345,-0.000833037,0.005720777,-0.000460319
0_120_5,0,120,5,2.5,0.000906357,-0.006502492,0.085696826,-0.000896369,0.006297425,0.000466781
5_120_0,5,120,0,2.5,0.008567074,0.001225038,0.085968899,-0.000872988,0.006098178,-2.16E-05
20_120_0,20,120,0,2.5,0.033770782,0.000944085,0.0864841,-0.000981671,0.005802786,0.000185603
0_120_10,0,120,10,2.5,0.000961978,-0.014335136,0.087056284,-0.000980479,0.006457182,0.001058027
10_120_0,10,120,0,2.5,0.016744725,0.001226675,0.08735609,-0.000916043,0.006063874,4.32E-05
5_120_5,5,120,5,2.5,0.008802069,-0.006412183,0.088155528,-0.000959104,0.006325208,0.000528818
20_120_5,20,120,5,2.5,0.0343564,-0.006655827,0.088691018,-0.001071787,0.006118043,0.000722457
10_120_5,10,120,5,2.5,0.017219409,-0.006558821,0.089827272,-0.00100678,0.006318175,0.000598606
