Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
20_480_-10,20,480,-10,1.684209518,0.747561311,4.04946588,-0.038500084,0.235938183,-0.030560679
0_480_-10,0,480,-10,0.03865644,0.582196594,3.722203894,-0.029932104,0.253602368,-0.039248549
10_120_-10,10,120,-10,0.015735263,0.015141861,0.079743741,-0.000743351,0.005330181,-0.000890275
20_120_-10,20,120,-10,0.031693761,0.015244176,0.078773612,-0.000775961,0.005117477,-0.00071204
10_240_-10,10,240,-10,0.026799445,0.031143881,0.147037743,-0.001066256,0.012197305,-0.002409366
5_120_-10,5,120,-10,0.008047731,0.014902443,0.078423596,-0.000708172,0.005400516,-0.000962865
5_60_-10,5,60,-10,0.005836803,0.010058744,0.055808637,-0.000591885,0.003529016,-0.000583155
5_360_-10,5,360,-10,0.110659793,0.20367806,1.036451386,-0.008743499,0.068587334,-0.012538728
20_240_-10,20,240,-10,0.053978115,0.030208227,0.14238586,-0.001222251,0.011956085,-0.002105642
10_360_-10,10,360,-10,0.191228878,0.188903358,0.951973367,-0.008256139,0.061973455,-0.010819231
10_480_-10,10,480,-10,0.910534267,0.825581056,4.290623832,-0.040323062,0.270125763,-0.042365629
0_360_-10,0,360,-10,0.019262948,0.206633565,1.232595292,-0.009710587,0.081384945,-0.01347785
20_60_-10,20,60,-10,0.023266257,0.010557924,0.056529132,-0.000596012,0.003153024,-0.000367151
10_60_-10,10,60,-10,0.011483405,0.010307852,0.056836349,-0.000607779,0.003421312,-0.000509854
0_60_-10,0,60,-10,0.000624048,0.009646749,0.054935119,-0.000569865,0.003617946,-0.000638828
0_120_-10,0,120,-10,0.000866054,0.014203682,0.076529179,-0.000661359,0.005416133,-0.00100133
20_360_-10,20,360,-10,0.325877829,0.161838564,0.803881652,-0.007400197,0.051026981,-0.007858775
5_240_-10,5,240,-10,0.013026656,0.030761065,0.144625241,-0.000946652,0.011985809,-0.002497932
0_240_-10,0,240,-10,-1.74E-05,0.027229271,0.140526245,-0.000832447,0.011565137,-0.002226554
5_480_-10,5,480,-10,0.403734106,0.709713093,3.757912726,-0.034826821,0.249052534,-0.042546469
#,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
10_480_-5,10,480,-5,0.819873239,0.367138891,3.974682272,-0.040848054,0.256210973,-0.017143164
10_240_-5,10,240,-5,0.029486603,0.021023189,0.163496475,-0.001305036,0.013664597,-0.00152494
10_60_-5,10,60,-5,0.011359897,0.005149563,0.05785085,-0.000653324,0.003547046,-0.000213955
10_120_-5,10,120,-5,0.01630824,0.008545454,0.084080345,-0.000833037,0.005720777,-0.000460319
5_60_-5,5,60,-5,0.005821438,0.005126985,0.057107462,-0.00063791,0.003649982,-0.000277083
5_360_-5,5,360,-5,0.118238615,0.115997736,1.119926477,-0.010374814,0.074371107,-0.006759159
20_60_-5,20,60,-5,0.023325865,0.005043673,0.05741461,-0.000650754,0.003167784,-8.27E-05
0_480_-5,0,480,-5,0.05095932,0.311064129,4.352492772,-0.042159709,0.295716866,-0.022106104
0_60_-5,0,60,-5,0.00060119,0.004846671,0.056270847,-0.000615315,0.003736254,-0.00032877
0_360_-5,0,360,-5,0.017819466,0.0971486,1.245299228,-0.010745804,0.083759697,-0.006523209
5_120_-5,5,120,-5,0.008309082,0.008433291,0.082610237,-0.000791845,0.005780262,-0.000525419
20_360_-5,20,360,-5,0.404740531,0.100958444,1.003543603,-0.010182639,0.061792173,-0.00348913
5_240_-5,5,240,-5,0.01457444,0.020682985,0.161621727,-0.001172409,0.013606359,-0.001633364
20_120_-5,20,120,-5,0.032943314,0.008485568,0.083249492,-0.000884445,0.005482131,-0.00029694
20_240_-5,20,240,-5,0.060321485,0.020900097,0.161101215,-0.001518458,0.013595881,-0.001239189
10_360_-5,10,360,-5,0.208661063,0.109826952,1.050463363,-0.009981819,0.068529796,-0.005590712
0_120_-5,0,120,-5,0.000872194,0.007924528,0.08049124,-0.000735501,0.005779131,-0.000569551
5_480_-5,5,480,-5,0.467227536,0.404012243,4.367396748,-0.044686366,0.289371532,-0.023080491
0_240_-5,0,240,-5,0.000447477,0.016680478,0.156524649,-0.001026302,0.013062431,-0.001315843
20_480_-5,20,480,-5,1.676447978,0.35601026,4.116642902,-0.043288855,0.240848441,-0.009139025
#,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
20_360_0,20,360,0,0.351357203,0.009356729,0.890701455,-0.009701598,0.05811259,0.001699626
10_120_0,10,120,0,0.016744725,0.001226675,0.08735609,-0.000916043,0.006063874,4.32E-05
10_60_0,10,60,0,0.011188061,1.95E-06,0.058088084,-0.000691235,0.003638026,0.000106086
20_60_0,20,60,0,0.022622667,-0.000553029,0.056950443,-0.000705669,0.003282121,0.000216896
0_60_0,0,60,0,0.000567396,-0.000131228,0.056875557,-0.000663998,0.003828832,-6.59E-06
5_60_0,5,60,0,0.005792243,2.19E-05,0.057725581,-0.000681386,0.003731426,4.79E-05
20_240_0,20,240,0,0.064549531,0.008239668,0.174622574,-0.001784217,0.014852518,-9.44E-05
0_360_0,0,360,0,0.01658588,-0.004940241,1.093873905,-0.010246233,0.076733209,-9.42E-05
10_480_0,10,480,0,0.840190642,-0.021662912,4.216070158,-0.046674792,0.271043952,0.007267484
20_480_0,20,480,0,1.587786312,-0.061277883,3.967452816,-0.045904561,0.236761591,0.013836521
