#Case,Cone Angle,Omega,Pitch Angle,z,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
10_240_-10,10,240,-10,1.25,0.320372114,0.314480496,1.87240364,-0.024001572,-0.099893719,0.022283787
10_180_-10,10,180,-10,1.25,0.091796355,0.090179861,0.535473634,-0.007384761,-0.028826236,0.006521003
0_480_-10,0,480,-10,1.25,0.016799147,0.855191454,5.10875048,-0.068551619,-0.245744294,0.044463891
0_180_-10,0,180,-10,1.25,-4.08E-05,0.097417977,0.588452348,-0.008587463,-0.028198171,0.005127224
0_360_-10,0,360,-10,1.25,-0.002741732,0.838605088,5.06225304,-0.072156002,-0.248804712,0.044639148
5_360_-10,5,360,-10,1.25,0.46542625,0.898068394,5.40578588,-0.075881661,-0.283303054,0.057351699
10_480_-10,10,480,-10,1.25,0.901579498,0.866316098,5.13228866,-0.066652155,-0.281466824,0.062423072
10_360_-10,10,360,-10,1.25,0.669106982,0.641840318,3.82001424,-0.049811805,-0.204422486,0.045893466
#5_480_-10,5,480,-10,1.25,-1.06E+35,-3.38E+35,-2.17E+36,-4.22E+34,2.64E+35,-3.80E+34
0_240_-10,0,240,-10,1.25,-0.000490031,0.232829118,1.38397884,-0.020410901,-0.068371554,0.012333554
5_240_-10,5,240,-10,1.25,0.112730576,0.218678492,1.31558964,-0.019113052,-0.067463206,0.013778486
5_180_-10,5,180,-10,1.25,0.036864323,0.070835182,0.425264404,-0.006541568,-0.021892118,0.004512195
#Case,Cone Angle,Omega,Pitch Angle,1.25,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
#0_480_-5,0,480,-5,1.25,1.21E+45,5.15E+44,3.54E+45,-3.04E+43,-4.91E+43,-4.14E+42
#10_480_-5,10,480,-5,1.25,7.25E+35,5.72E+35,5.76E+36,-1.41E+35,-7.70E+35,9.35E+34
10_180_-5,10,180,-5,1.25,0.071960759,0.033924247,0.41703615,-0.006722555,-0.022163065,0.003159619
5_480_-5,5,480,-5,1.25,0.604597584,0.556516164,6.82589462,-0.096352048,-0.347469222,0.039712654
5_180_-5,5,180,-5,1.25,0.051024067,0.048539985,0.601333718,-0.009124566,-0.030199872,0.003546191
0_360_-5,0,360,-5,1.25,-0.01757546,0.43197055,5.29873138,-0.068930042,-0.22721183,0.019702272
10_360_-5,10,360,-5,1.25,1.32090966,0.631472652,7.61734214,-0.109543253,-0.420127496,0.056213108
5_240_-5,5,240,-5,1.25,0.141086584,0.132806684,1.65202628,-0.02421624,-0.082737718,0.009649443
0_180_-5,0,180,-5,1.25,-0.000593156,0.043142279,0.550124778,-0.008409887,-0.02623152,0.002345328
5_360_-5,5,360,-5,1.25,0.295299876,0.278287972,3.3908219,-0.04863739,-0.168340848,0.019594002
0_240_-5,0,240,-5,1.25,-0.000687576,0.130349284,1.64121672,-0.024702591,-0.079686927,0.007042808
10_240_-5,10,240,-5,1.25,0.307691228,0.143717346,1.7832082,-0.026012578,-0.093540005,0.012895378
#Case,Cone Angle,Omega,Pitch Angle,1.25,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_480_0,5,480,0,1.25,0.330752184,0.002418974,3.93709378,-0.063082382,-0.200323036,0.005255675
5_180_0,5,180,0,1.25,0.045692913,-0.002577986,0.530558692,-0.008854401,-0.026365862,0.000810117
#0_480_0,0,480,0,1.25,1.56E+34,-8.32E+34,-2.95E+35,2.98E+33,1.42E+33,2.80E+33
10_360_0,10,360,0,1.25,1.0622252,-0.019793801,6.1225923,-0.097695915,-0.338602944,0.017092385
#10_480_0,10,480,0,1.25,3.62E+33,-1.28E+33,6.93E+33,-9.18E+31,1.03E+32,1.03E+32
10_180_0,10,180,0,1.25,0.086125771,-0.001988274,0.498292704,-0.008495753,-0.026284064,0.00151522
5_240_0,5,240,0,1.25,0.137696294,-0.008845395,1.60974236,-0.0255112,-0.079611913,0.002325726
0_180_0,0,180,0,1.25,-0.000422411,-0.003695048,0.561569746,-0.009235437,-0.026907877,3.18E-05
0_240_0,0,240,0,1.25,-0.000482435,-0.009694581,1.39530782,-0.023543833,-0.068858679,-3.94E-05
10_240_0,10,240,0,1.25,0.24481377,-0.003560539,1.42521456,-0.023646592,-0.076113074,0.004113339
0_360_0,0,360,0,1.25,-0.012983339,-0.024034014,6.43654592,-0.097350032,-0.305034798,0.000147799
5_360_0,5,360,0,1.25,0.51048369,-0.03039796,5.97223756,-0.093715597,-0.29851802,0.008425292
