# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_0_-5,0,0,-5,250.0,-0.0013637431242,0.0037705395000000004,0.056616705973999995,-0.00078583201552,-0.0027582121528999994,0.00019754294335999997
5_0_0,5,0,0,250.0,-0.0062614357628,-0.0005895898258,0.056469927075999994,-0.0008280554838200002,-0.0026369045403999997,-0.00010756280719999995
10_540_0,10,540,0,250.0,-3.2884680566,-0.4914179076,16.874448950400005,-0.29244011379,-1.0083094841159999,-0.09726853844
10_540_-5,10,540,-5,250.0,-1.3768784260799998,0.4900766050480001,6.805840665579998,-0.13207763888179994,-0.44381878508860007,0.004240951082000002
5_420_0,5,420,0,250.0,-0.6114359352600002,-0.06685128007599998,4.472166966008001,-0.08019809503860001,-0.2922349357693999,-0.016781528976
0_540_-5,0,540,-5,250.0,-0.3146449358000001,0.5609211161000002,6.695643402239998,-0.1190129612618,-0.40913690955319987,0.02619349882000001
10_0_0,10,0,0,250.0,-0.011301992327879998,-0.0006473366731600001,0.055320469130000015,-0.0007933425485999998,-0.0024792403665400004,-0.00017729368781999998
0_420_-5,0,420,-5,250.0,-0.2402001239999999,0.22351926506,3.59441308892,-0.05242409804992,-0.21430354044599995,0.008341911380000002
10_420_0,10,420,0,250.0,-1.3841319162,-0.11996478783000002,5.7194483279199995,-0.09396609617620001,-0.36157712040699996,-0.030942026226
10_360_0,10,360,0,250.0,-0.66143207804,-0.05676449729999998,2.9719241122779994,-0.05956644120800002,-0.21264830181740005,-0.021318984825999997
5_420_-5,5,420,-5,250.0,-0.6138823384,0.24347401776200006,3.80670109688,-0.063922113093,-0.23595880726000007,0.0006691386674000003
5_540_0,5,540,0,250.0,-0.49277480914267996,-0.026156547236000003,4.49650468654,-0.08941253063059999,-0.29826600958,-0.015097553286000001
0_0_0,0,0,0,250.0,-0.0016444165103999997,-0.0008152860648000001,0.056372558272,-0.00083382742136,-0.0027906377749200005,-7.190637334e-05
10_420_-5,10,420,-5,250.0,-1.4923547459999997,0.43272206611680003,6.439139917719999,-0.11061581949860001,-0.39636625637200007,0.0010238828480000001
0_420_0,0,420,0,250.0,-0.2526881148,-0.10670822189999997,3.9418999498999994,-0.06563895921412001,-0.2549255694874,-0.014328007288000003
0_360_-5,0,360,-5,250.0,-0.20766781840000004,0.19445327138000001,3.650360465819999,-0.07511741220699998,-0.2570484784260001,0.005234901739999999
10_360_-5,10,360,-5,250.0,-0.7211616856799998,0.23040149284000006,3.3151718314051997,-0.06750641076800001,-0.235994872947,-0.0012083836299999998
5_540_-5,5,540,-5,250.0,-0.8270364582800002,0.56776858104,7.2173179311599975,-0.13641413303740002,-0.45648299676859994,0.017709191522
0_540_0,0,540,0,250.0,-0.11331015340000002,-0.021927365279999996,4.92801748454,-0.09656519801324003,-0.31907088414419993,-0.010154806374
10_0_-5,10,0,-5,250.0,-0.011113854983379997,0.0041275324959999995,0.05476334350000001,-0.0007588176039600001,-0.00242802494274,4.838270066e-05
5_360_-5,5,360,-5,250.0,-0.6637799499999999,0.31037431337999993,4.593290171288,-0.08280680356359998,-0.293751021454,0.00331846811
5_0_-5,5,0,-5,250.0,-0.006358416276200001,0.0042929696428000005,0.05587522339599999,-0.00078418947096,-0.0025982631741000004,0.00012667938848
0_360_0,0,360,0,250.0,-0.1696765241400001,-0.08595833978,3.8019733278400003,-0.07327083470059997,-0.27273884317740005,-0.014632190378000003
5_360_0,5,360,0,250.0,-0.4922033564400001,-0.05035889002000001,3.528482630336,-0.0678646543848,-0.25156323481279996,-0.017226138458000004
