# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_0_-5,0,0,-5,250.0,0.00019139644479999993,0.004158777721000001,0.049195009644000004,-0.00061496791354,0.0034070303214800007,-0.00028836692939999996
5_0_0,5,0,0,250.0,-0.0041746310772,-9.67614175e-05,0.048539453643999995,-0.0006606678670800001,0.0035063401175200004,-6.878871732600001e-05
10_540_0,10,540,0,250.0,-1.51598253302e+91,-9.0516648674e+90,7.56982000878e+91,1.0379522198e+89,-2.28233334534e+90,-2.99925966366e+89
10_540_-5,10,540,-5,250.0,9.905187544338e+74,-4.49200854556e+74,-5.613747314439999e+75,8.7133693334e+73,-3.5672628448e+74,5.814249166399999e+73
5_420_0,5,420,0,250.0,1.4825103462000001e+85,-4.3767553004e+85,-3.7470327518e+86,4.4903909382e+84,-4.3585527756000006e+84,1.32859466532e+82
0_540_-5,0,540,-5,250.0,3.01767236202e+77,-2.0700241986e+78,-1.4819220287999998e+79,1.510665716e+77,-6.37876628316e+76,9.97735963762e+75
10_0_0,10,0,0,250.0,-0.008418625294200004,-0.00014459060092,0.04786960497999999,-0.0006613573202000002,0.00366519996152,-0.000131096579714
0_420_-5,0,420,-5,250.0,-3.45982737342e+75,2.9751156173599996e+76,2.17794826934e+77,-2.2465113702e+75,8.8560326682e+74,-1.116261981512e+74
10_420_0,10,420,0,250.0,5.50088258046e+86,3.3793494876999996e+86,-2.7906356493360004e+87,-1.6888859953600003e+84,6.406274186e+85,1.23712677985e+85
10_360_0,10,360,0,250.0,-2.7326404088e+81,-1.667513023924e+81,1.3809901155179998e+82,1.0995486082000002e+79,-3.4167418461239996e+80,-5.961422553259999e+79
5_420_-5,5,420,-5,250.0,-7.811554697399999e+92,6.684691163799999e+93,1.5494126715e+94,-9.264692739e+92,1.31120485718e+93,-6.547483445400001e+92
5_540_0,5,540,0,250.0,5.8616993380000004e+85,-1.270575856e+86,-1.3337644897999998e+87,1.5154094626e+85,-8.768950966e+84,-3.77203621e+82
0_0_0,0,0,0,250.0,0.0002013853748,-0.0004020922828,0.049297550082000006,-0.00064926492854,0.0034134580921999992,7.07578516e-06
10_420_-5,10,420,-5,250.0,1.8590260776e+70,-9.769109749999999e+69,-1.0422533647999999e+71,1.7748022622e+69,-7.531528818719999e+69,1.22577446044e+69
0_420_0,0,420,0,250.0,-1.06437597522e+69,2.9574503504000005e+68,-6.154635226e+69,5.9553881417e+67,1.8228709080600004e+68,6.440745782399999e+66
0_360_-5,0,360,-5,250.0,-6.366019617200001e+71,1.000491961796e+73,7.612367309000001e+73,-7.934037296000001e+71,2.3321447925600006e+71,-1.288985102406e+70
10_360_-5,10,360,-5,250.0,-0.2878643457,0.1634104668,1.7087720171800005,-0.024521182012800003,0.12461601362879997,-0.016263123742
5_540_-5,5,540,-5,250.0,3.26656198e+97,-2.7953410508e+98,-6.479188070600001e+98,3.8742216724e+97,-5.4830722196e+97,2.7379647469999996e+97
0_540_0,0,540,0,250.0,1.6286753362599998e+70,-5.0814399318e+69,7.89324786e+70,-7.5020277464000005e+68,-2.5050058087999996e+69,-9.967952569400002e+67
10_0_-5,10,0,-5,250.0,-0.008333375353,0.004215120468599999,0.047389045409999976,-0.00056293676902,0.0036187052524999995,-0.00043902126130000013
5_360_-5,5,360,-5,250.0,-0.13753472721999999,0.17098137106000005,1.7824480395600004,-0.026235451641216014,0.12307196814739998,-0.013960150404000001
5_0_-5,5,0,-5,250.0,-0.004122203649,0.004288969016200001,0.048189359217999994,-0.0005936859216600002,0.0034800725623799996,-0.00037808199399999993
0_360_0,0,360,0,250.0,4.2293852519999986e+67,-4.7957796015999994e+67,-9.257508612200001e+68,8.1210059658e+66,3.43710416594e+67,-1.1496958033800003e+66
5_360_0,5,360,0,250.0,-0.139426510658,0.0027777666313,1.7723890496399999,-0.028221975825683993,0.12183758865999998,-0.002997792218
