# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_0_-5,0,0,-5,250.0,0.0001935877642,0.004489760869199999,0.049804506216,-0.0006313799801199999,0.0034382277377400005,-0.0003043841202999999
5_0_0,5,0,0,250.0,-0.0042488556502,-0.00010155243819999999,0.04976195154199999,-0.0006748560575800001,0.003592805231040001,-7.116884290000001e-05
10_540_0,10,540,0,250.0,-7.59839524e+47,1.2039730539999997e+48,4.7657836380000014e+48,-1.1013491099999998e+47,5.567059763999999e+47,-1.363059242e+47
10_540_-5,10,540,-5,250.0,-7.135183842999999e+59,-1.28349193438e+59,4.0508369544e+60,-3.47296173036e+58,4.129405045e+59,3.988262849400001e+57
5_420_0,5,420,0,250.0,-4.1311441660000006e+48,2.2025974040000002e+49,5.830356054e+49,-1.7639944139999998e+48,5.758200092e+48,-2.210536716e+48
0_540_-5,0,540,-5,250.0,5.145388442000001e+46,1.8409980400000002e+48,2.3209571580000003e+48,-1.0171003238e+47,2.065741658e+47,-1.697301482e+47
10_0_0,10,0,0,250.0,-0.0085869380188,-0.00015259522840000003,0.048859113472000004,-0.0006692902129000002,0.0037188311762400006,-0.00012592458222
0_420_-5,0,420,-5,250.0,4.013769685999999e+47,1.6146351040000004e+49,2.5144550979999996e+49,-1.0862664228e+48,2.2046539199999995e+48,-1.4838331199999997e+48
10_420_0,10,420,0,250.0,-1.9459035939999998e+49,2.1688664860000004e+49,1.199897944e+50,-2.7939706220000003e+48,1.4138090519999997e+49,-2.60259912e+48
10_360_0,10,360,0,250.0,-5.376024936e+49,5.632026425999999e+49,3.326670568000001e+50,-7.866796289999998e+48,3.9121376279999996e+49,-6.875612188000001e+48
5_420_-5,5,420,-5,250.0,-4.075804006e+48,2.2637162199999999e+49,5.509101412e+49,-1.674100864e+48,5.5034012220000015e+48,-2.2942232059999998e+48
5_540_0,5,540,0,250.0,-1.267956288e+47,1.0308715258e+48,1.933601308e+48,-5.922332346e+46,1.892543216e+47,-1.0138569698e+47
0_0_0,0,0,0,250.0,0.0001510624064,-0.0002313072278,0.049541603448000016,-0.0006486647423800002,0.003399182034660001,7.924824159999999e-06
10_420_-5,10,420,-5,250.0,-5.018841971999999e+61,-1.16860364688e+61,2.85977703132e+62,-2.39010593168e+60,2.8782852427e+61,5.5829043148e+59
0_420_0,0,420,0,250.0,5.837116802e+47,2.2142679099999998e+49,3.279851382e+49,-1.3972382360000001e+48,2.8657015820000003e+48,-2.044674984e+48
0_360_-5,0,360,-5,250.0,1.0743924186e+48,4.538783402e+49,7.728125651999999e+49,-3.3679363740000006e+48,6.750574673999999e+48,-4.1645642720000003e+48
10_360_-5,10,360,-5,250.0,-2.38691738268e+62,-2.578610340399999e+61,1.33763305034e+63,-7.9956099184e+60,1.3566613696399998e+62,2.4038287080000055e+59
5_540_-5,5,540,-5,250.0,-4.3219421399999994e+47,2.8981782660000003e+48,6.022739828000001e+48,-1.8108364319999996e+47,6.088532991999999e+47,-2.9097757679999995e+47
0_540_0,0,540,0,250.0,2.0400552320000002e+46,7.149321726000002e+47,8.098619642e+47,-3.5348904099999995e+46,7.028936102e+46,-6.604094624000001e+46
10_0_-5,10,0,-5,250.0,-0.008455412776399999,0.0042564516374000005,0.04849945640599997,-0.0005744411263000002,0.0036873238346000004,-0.0004367241782999998
5_360_-5,5,360,-5,250.0,-1.1265454419999997e+49,5.920147464e+49,1.519853084e+50,-4.736457703999999e+48,1.5067251179999995e+49,-6.025373216e+48
5_0_-5,5,0,-5,250.0,-0.0041168740952,0.0043195806568,0.04932667346,-0.00060509752166,0.00356063318186,-0.00037230408188000007
0_360_0,0,360,0,250.0,1.2401210259999997e+48,4.710357122e+49,8.023195872000001e+49,-3.403538539999999e+48,6.986728766000001e+48,-4.346786814e+48
5_360_0,5,360,0,250.0,-9.94455766e+48,4.810523198e+49,1.3854891699999998e+50,-4.2909171659999997e+48,1.3606817700000002e+49,-4.8642621379999996e+48
