Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
12_660_-5,12,660,-5,1,-0.009437748,-0.001261565,0.048947337,-0.000924342,-0.003699969,-0.000748067
12_660_-3,12,660,-3,1,-0.010550338,-0.002307732,0.052249599,-0.000960788,-0.004329016,-0.00083905
12_660_-1,12,660,-1,1,-0.012334886,-0.003545958,0.058280445,-0.001037408,-0.005123651,-0.000966485
12_660_-5,12,660,-5,2,-0.024620229,0.008648065,0.147981973,-0.001155486,-0.010539048,0.00017395
12_660_-3,12,660,-3,2,-0.023291463,0.004256951,0.145328837,-0.001254247,-0.010835571,-0.000139868
12_660_-1,12,660,-1,2,-0.013939931,-0.001591698,0.101081399,-0.001553301,-0.009347029,-0.000809655
12_660_-5,12,660,-5,3,-0.042754258,0.024943333,0.266167264,-0.001858465,-0.018387904,0.001413595
12_660_-3,12,660,-3,3,-0.048256074,0.020942518,0.29495923,-0.00208861,-0.021023326,0.001086981
12_660_-1,12,660,-1,3,-0.05319932,0.015397936,0.324886439,-0.002372235,-0.02364338,0.000591721
10_660_-5,10,660,-5,1,-0.007290654,-0.001207456,0.048526105,-0.000811476,-0.003597234,-0.000675022
10_660_-3,10,660,-3,1,-0.007999444,-0.002112817,0.050940592,-0.000833875,-0.004179208,-0.000744501
10_660_-1,10,660,-1,1,-0.009578089,-0.003153653,0.056033965,-0.000890117,-0.004927014,-0.000862987
10_660_-5,10,660,-5,2,-0.018504201,0.00831072,0.141305369,-0.000986669,-0.009983694,0.000193634
10_660_-3,10,660,-3,2,-0.020565597,0.007256212,0.159693315,-0.001120461,-0.011643727,0.000144491
10_660_-1,10,660,-1,2,-0.017190586,0.001368826,0.141190015,-0.001231312,-0.011180862,-0.000357801
10_660_-5,10,660,-5,3,-0.03416337,0.024892566,0.262757756,-0.001639478,-0.018085201,0.001469934
10_660_-3,10,660,-3,3,-0.0381417,0.020808368,0.291038716,-0.001870001,-0.020681219,0.001138638
10_660_-1,10,660,-1,3,-0.042067143,0.015611164,0.319529258,-0.002131296,-0.023226422,0.00068859
8_660_-5,8,660,-5,1,-0.005298444,-0.001303715,0.047937177,-0.000687989,-0.003450308,-0.00064448
8_660_-3,8,660,-3,1,-0.005816512,-0.001826767,0.049874224,-0.000695556,-0.004011934,-0.000665543
8_660_-1,8,660,-1,1,-0.007182077,-0.002694874,0.054145779,-0.000738911,-0.004746637,-0.000773687
8_660_-5,8,660,-5,2,-0.013064923,0.008298823,0.135420915,-0.000826565,-0.009496929,0.000215508
8_660_-3,8,660,-3,2,-0.014318887,0.007200841,0.153955674,-0.000919018,-0.011173212,0.000178961
8_660_-1,8,660,-1,2,-0.01124379,0.001309405,0.130095468,-0.001114214,-0.010663364,-0.000355739
8_660_-5,8,660,-5,3,-0.025617525,0.02491552,0.258840402,-0.001437242,-0.017783042,0.001495424
8_660_-3,8,660,-3,3,-0.028151398,0.021099059,0.285480462,-0.001629251,-0.020212099,0.001209232
8_660_-1,8,660,-1,3,-0.03082646,0.016131897,0.312983825,-0.001881625,-0.022690571,0.000788075
6_660_-5,6,660,-5,1,-0.003465495,-0.001580105,0.04666726,-0.000564717,-0.003265833,-0.0006404
6_660_-3,6,660,-3,1,-0.00393224,-0.001615862,0.04974598,-0.000552166,-0.003880936,-0.000611117
6_660_-1,6,660,-1,1,-0.004726348,-0.002421453,0.051667272,-0.000580296,-0.004497137,-0.00070187
6_660_-5,6,660,-5,2,-0.008210842,0.008332979,0.130088774,-0.000666599,-0.009060366,0.000230512
6_660_-3,6,660,-3,2,-0.008833383,0.007732214,0.147695556,-0.000747047,-0.010713226,0.000226715
6_660_-1,6,660,-1,2,-0.008784631,0.004264951,0.150461833,-0.000878225,-0.011530014,-5.84E-05
