#Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
0_600_-5,0,600,-5,3.5,0.000441275,0.038359204,0.326967603,-0.001199239,-0.021481854,0.00250108
0_600_-4,0,600,-4,3.5,0.000213561,0.037571823,0.343842393,-0.00147273,-0.02299627,0.002335712
0_600_-3,0,600,-3,3.5,0.000258426,0.034319691,0.354962623,-0.001443568,-0.023898573,0.002074598
0_600_-2,0,600,-2,3.5,-4.30E-05,0.031290471,0.368985982,-0.001639453,-0.025258582,0.001867924
0_600_-1,0,600,-1,3.5,0.000500433,0.030300567,0.389850277,-0.001948767,-0.027008089,0.001797923
0_600_0,0,600,0,3.5,0.00015944,0.025224958,0.394844835,-0.001995931,-0.027420088,0.001514358
1_600_-5,1,600,-5,3.5,-0.003568504,0.03882299,0.332499234,-0.001373637,-0.021779823,0.002424365
1_600_-4,1,600,-4,3.5,-0.003857552,0.037279995,0.345564987,-0.001616029,-0.023076241,0.002297746
1_600_-3,1,600,-3,3.5,-0.003899803,0.033860345,0.355752945,-0.001577333,-0.023872553,0.002037651
1_600_-2,1,600,-2,3.5,-0.003737332,0.030956001,0.370513863,-0.001673049,-0.02509711,0.001847528
1_600_-1,1,600,-1,3.5,-0.003689077,0.029384345,0.386291338,-0.00184407,-0.026640449,0.001688623
1_600_0,1,600,0,3.5,-0.004557269,0.027015349,0.399611308,-0.002065229,-0.027867364,0.001455166
2_600_-5,2,600,-5,3.5,-0.007941556,0.038837515,0.336413332,-0.001503435,-0.02204659,0.002377405
2_600_-4,2,600,-4,3.5,-0.008274241,0.037376819,0.350146088,-0.001652929,-0.02327794,0.002225123
2_600_-3,2,600,-3,3.5,-0.008120908,0.034177729,0.360626076,-0.001700318,-0.024089007,0.002002131
2_600_-2,2,600,-2,3.5,-0.007510117,0.03233852,0.374949,-0.001925986,-0.025361764,0.001846213
2_600_-1,2,600,-1,3.5,-0.007119815,0.02781337,0.384217527,-0.002003441,-0.02598761,0.001655215
2_600_0,2,600,0,3.5,-0.008987067,0.02468004,0.40023899,-0.002267114,-0.027610745,0.001387436
3_600_-5,3,600,-5,3.5,-0.012348567,0.039155544,0.339166167,-0.001635118,-0.022216719,0.002352304
3_600_-4,3,600,-4,3.5,-0.012707923,0.037293171,0.352311812,-0.001741952,-0.023350145,0.002213571
3_600_-3,3,600,-3,3.5,-0.012828012,0.034568163,0.363561999,-0.001880499,-0.024351955,0.002002392
3_600_-2,3,600,-2,3.5,-0.012784932,0.03193692,0.376680483,-0.00207121,-0.025439231,0.00181212
3_600_-1,3,600,-1,3.5,-0.012899792,0.027417068,0.389060755,-0.002227641,-0.02630378,0.001586094
3_600_0,3,600,0,3.5,-0.01371251,0.024167414,0.399179748,-0.002370484,-0.027440682,0.00129289
4_600_-5,4,600,-5,3.5,-0.017133527,0.03953137,0.342321421,-0.001761871,-0.022425917,0.002336961
4_600_-4,4,600,-4,3.5,-0.017375921,0.037100955,0.353777747,-0.001854899,-0.023387811,0.002153678
