Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_330_-5,10,330,-5,3,-0.035131258,0.026097572,0.209827253,-0.001905546,-0.01223827,0.001109514
0_300_0,0,300,0,3,-0.005332421,0.009949625,0.209861928,-0.001658456,-0.012618854,0.000604223
10_300_5,10,300,5,3,-0.040925162,-0.006024486,0.238722352,-0.002118656,-0.01385752,-0.000811377
0_330_10,0,330,10,3,-0.003269621,-0.026679082,0.246183612,-0.002012323,-0.015570475,-0.001854298
10_600_0,10,600,0,3,-0.044513196,0.014292617,0.336732701,-0.002325225,-0.023761656,0.000152743
5_480_0,5,480,0,3,-0.017512329,0.017047919,0.286835334,-0.001832306,-0.01959163,0.000682927
5_360_5,5,360,5,3,-0.022279395,-0.004929487,0.262087228,-0.002065954,-0.01688679,-0.000584712
0_300_-5,0,300,-5,3,-0.003693392,0.021993836,0.188655216,-0.001363524,-0.011167416,0.001328409
0_480_-5,0,480,-5,3,0.001074372,0.027851935,0.23767142,-0.000993297,-0.015577295,0.001668815
5_420_10,5,420,10,3,-0.023407986,-0.030157426,0.315363834,-0.002226213,-0.021531361,-0.002495974
10_540_0,10,540,0,3,-0.042817079,0.015109472,0.315861148,-0.002300418,-0.02185928,0.000289759
10_570_0,10,570,0,3,-0.043641206,0.014777588,0.326515551,-0.002312536,-0.022838999,0.000222003
10_210_5,10,210,5,3,-0.033875416,-0.008146989,0.162159206,-0.0017094,-0.008033844,-0.000877576
10_570_10,10,570,10,3,-0.058593604,-0.037514718,0.434143448,-0.002616238,-0.03164294,-0.004231094
0_420_10,0,420,10,3,0.000218841,-0.030726088,0.301366532,-0.002013197,-0.020537633,-0.00240192
10_540_-5,10,540,-5,3,-0.035836622,0.028842179,0.268150322,-0.001961636,-0.017688007,0.001415574
5_420_0,5,420,0,3,-0.018100755,0.014741873,0.260803091,-0.001861317,-0.017305335,0.000669395
5_540_5,5,540,5,3,-0.022307197,-0.004801932,0.35453224,-0.002207645,-0.025350444,-0.001124736
5_570_0,5,570,0,3,-0.017872903,0.014672997,0.316825839,-0.001839034,-0.022102407,0.000533899
10_600_5,10,600,5,3,-0.053112632,-0.010112074,0.392705135,-0.002572063,-0.028541968,-0.001805975
0_570_10,0,570,10,3,0.005334004,-0.040115192,0.398657761,-0.002169538,-0.029404768,-0.003779154
10_480_-5,10,480,-5,3,-0.035061087,0.029064405,0.253522239,-0.001970568,-0.016486734,0.001429257
0_270_10,0,270,10,3,-0.006093927,-0.025866913,0.207692137,-0.002006859,-0.011806044,-0.00162188
5_270_-5,5,270,-5,3,-0.020284073,0.022854892,0.192145202,-0.001698095,-0.010199793,0.001010885
5_540_10,5,540,10,3,-0.024917085,-0.037905548,0.403544748,-0.002546722,-0.029312952,-0.003641356
5_180_0,5,180,0,3,-0.017306069,0.002343886,0.139688299,-0.001501208,-0.006590815,-6.85E-05
10_630_0,10,630,0,3,-0.044265776,0.012757757,0.34081597,-0.002233675,-0.024410365,0.000112805
0_270_0,0,270,0,3,-0.006726858,0.008528749,0.199258827,-0.001669936,-0.01122712,0.00049383
5_660_5,5,660,5,3,-0.023018533,-0.010364229,0.399638895,-0.002143449,-0.029886773,-0.001732129
0_540_-5,0,540,-5,3,0.001944707,0.02525624,0.234563886,-0.000763844,-0.015727545,0.00154019
5_210_10,5,210,10,3,-0.020500519,-0.022750564,0.16076841,-0.00174313,-0.008165784,-0.001418755
10_540_5,10,540,5,3,-0.050591411,-0.008607176,0.366259733,-0.002549542,-0.025921187,-0.001435875
10_330_5,10,330,5,3,-0.042083782,-0.005554952,0.256498392,-0.002205893,-0.015695952,-0.000799341
10_360_10,10,360,10,3,-0.045385716,-0.028806074,0.28608895,-0.002280337,-0.018479595,-0.002301566
5_600_-5,5,600,-5,3,-0.013732908,0.023147409,0.250574267,-0.001273028,-0.017047762,0.001324074
10_270_0,10,270,0,3,-0.037029905,0.009873727,0.202115121,-0.001966005,-0.010639457,-3.19E-05
5_180_10,5,180,10,3,-0.017519761,-0.021660801,0.140804177,-0.001635927,-0.006989734,-0.001289263
5_300_5,5,300,5,3,-0.02268311,-0.00635739,0.235103788,-0.002045412,-0.013811704,-0.000596595
5_240_10,5,240,10,3,-0.022194971,-0.024176736,0.185493427,-0.001884492,-0.009779867,-0.00159737
5_630_-5,5,630,-5,3,-0.013353462,0.022650937,0.25229225,-0.001257354,-0.017259259,0.001253451
0_540_10,0,540,10,3,0.005088826,-0.038450249,0.389700732,-0.002300601,-0.028417927,-0.003588249
0_420_-5,0,420,-5,3,-0.000151147,0.02778227,0.225931896,-0.001160536,-0.014589907,0.001646837
10_180_-5,10,180,-5,3,-0.028393007,0.016418659,0.139679333,-0.001485805,-0.006384175,0.000313912
0_480_0,0,480,0,3,0.000802705,0.016990061,0.281424811,-0.001511541,-0.019359933,0.000865442
10_660_-5,10,660,-5,3,-0.034215496,0.02260609,0.266766047,-0.001876851,-0.018408925,0.001131322
5_480_-5,5,480,-5,3,-0.015525254,0.027857426,0.247307426,-0.001519097,-0.016084077,0.00151337
0_330_5,0,330,5,3,-0.004068347,-0.006695621,0.236515473,-0.00178404,-0.014985292,-0.000501455
10_420_0,10,420,0,3,-0.039344147,0.014011482,0.264379191,-0.002164732,-0.017270166,0.000377128
0_420_5,0,420,5,3,-0.000415614,-0.005475531,0.284104478,-0.001749024,-0.01946272,-0.000656452
10_360_0,10,360,0,3,-0.039004451,0.013337608,0.247264221,-0.002167836,-0.01534055,0.000358648
5_240_5,5,240,5,3,-0.022045621,-0.008087753,0.184389446,-0.001822219,-0.009550713,-0.000687748
10_270_-5,10,270,-5,3,-0.034756911,0.023720331,0.188818322,-0.001836346,-0.009717424,0.000733166
10_300_-5,10,300,-5,3,-0.036815161,0.026650605,0.208888628,-0.001936122,-0.011474393,0.001032116
0_210_10,0,210,10,3,-0.00640708,-0.02284304,0.158489691,-0.001770272,-0.008245009,-0.001281124
0_210_5,0,210,5,3,-0.006175421,-0.00934477,0.15843437,-0.001631267,-0.008129293,-0.00051792
10_210_-5,10,210,-5,3,-0.030136498,0.019431636,0.154464253,-0.001588571,-0.007391578,0.00041861
5_660_-5,5,660,-5,3,-0.012747036,0.022132491,0.253904404,-0.001256418,-0.017420053,0.001181472
10_420_5,10,420,5,3,-0.044571629,-0.005617744,0.298824113,-0.002304497,-0.019875006,-0.000921867
0_540_5,0,540,5,3,0.002967547,-0.006890944,0.341539653,-0.001757237,-0.024666151,-0.001155343
5_270_10,5,270,10,3,-0.022825922,-0.026370927,0.215607987,-0.002027152,-0.012090008,-0.001741673
5_420_-5,5,420,-5,3,-0.016067913,0.027438511,0.233125484,-0.001595256,-0.014851738,0.001484305
10_480_0,10,480,0,3,-0.040877271,0.015065055,0.290574529,-0.002222312,-0.019640852,0.00037244
5_270_0,5,270,0,3,-0.021454783,0.009731682,0.205252972,-0.001852811,-0.011053479,0.000273513
5_330_0,5,330,0,3,-0.020581064,0.011911748,0.231247834,-0.001931521,-0.014028771,0.000531795
5_210_5,5,210,5,3,-0.020378167,-0.008841213,0.160070886,-0.001683851,-0.007923547,-0.000693204
10_240_5,10,240,5,3,-0.036328342,-0.007248856,0.183971106,-0.001873416,-0.009515809,-0.000942497
10_420_10,10,420,10,3,-0.048828916,-0.030158079,0.329653026,-0.002400045,-0.02238814,-0.002711023
0_180_5,0,180,5,3,-0.005232217,-0.00949355,0.138640161,-0.001535614,-0.006919689,-0.000528098
5_330_10,5,330,10,3,-0.023162541,-0.027729062,0.258161213,-0.002129263,-0.016108053,-0.001982411
0_240_5,0,240,5,3,-0.007164796,-0.009077509,0.182447852,-0.00174092,-0.009733089,-0.000516699
10_660_10,10,660,10,3,-0.063236575,-0.048580466,0.475575989,-0.002738846,-0.036044887,-0.005171385
10_180_0,10,180,0,3,-0.030096906,0.003775239,0.142507708,-0.001553571,-0.006627461,-0.000238158
