Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_330_-5,10,330,-5,1,-0.00487967,0.001067079,0.036121252,-0.000267755,-0.002564797,-7.57E-05
0_300_0,0,300,0,1,0.001351949,0.000711898,0.037428527,-6.71E-05,-0.002856828,-5.43E-05
10_300_5,10,300,5,1,-0.003528859,-0.00407799,0.029623033,-0.000317261,-0.00298229,-0.000555289
0_330_10,0,330,10,1,-0.000539148,-0.085009639,0.44248927,-0.00508951,-0.026599766,-0.006817
10_600_0,10,600,0,1,-0.008765943,-0.006932852,0.052336113,-0.000694378,-0.004775426,-0.001194735
5_480_0,5,480,0,1,-0.002326969,-0.00369729,0.041530517,-0.000295374,-0.003703688,-0.000626249
5_360_5,5,360,5,1,-0.001965095,-0.005684569,0.032101284,-0.000291705,-0.0035394,-0.000726782
0_300_-5,0,300,-5,1,0.000573253,0.001431859,0.0277944,-2.52E-05,-0.00190189,-2.51E-05
0_480_-5,0,480,-5,1,4.79E-05,-0.002030418,0.031132731,-1.33E-05,-0.002090872,-0.000508748
5_420_10,5,420,10,1,-0.033955632,-0.082178449,0.378219388,-0.004319376,-0.027481849,-0.007404567
10_540_0,10,540,0,1,-0.006652264,-0.005515806,0.042768521,-0.00059146,-0.0040858,-0.000964948
10_570_0,10,570,0,1,-0.0077383,-0.006206303,0.047891021,-0.000641075,-0.004441888,-0.001077468
10_210_5,10,210,5,1,-0.005969331,-0.001524828,0.044768656,-0.000273797,-0.003285374,-0.000250772
10_570_10,10,570,10,1,-0.013280124,-0.024930608,0.078635708,-0.000648632,-0.008005114,-0.00289117
0_420_10,0,420,10,1,0.002817645,-0.015577254,0.083316244,-0.000230361,-0.006904683,-0.001600834
10_540_-5,10,540,-5,1,-0.006330815,-0.002612019,0.042378225,-0.000552933,-0.003159132,-0.000678735
5_420_0,5,420,0,1,-0.001845732,-0.002613183,0.038765063,-0.000250903,-0.003368351,-0.000455566
5_540_5,5,540,5,1,-0.004355172,-0.012050429,0.055800247,-0.000383729,-0.005530424,-0.001497584
5_570_0,5,570,0,1,-0.003260398,-0.005365592,0.047626992,-0.000373835,-0.004257147,-0.000900821
10_600_5,10,600,5,1,-0.011992404,-0.015966924,0.071352941,-0.000684204,-0.006708805,-0.002027706
0_570_10,0,570,10,1,0.005976483,-0.027636608,0.182693631,-0.000479082,-0.01513489,-0.002962681
10_480_-5,10,480,-5,1,-0.009408035,-0.000984668,0.056999303,-0.000566326,-0.003951742,-0.000508896
0_270_10,0,270,10,1,0.001656413,-0.006965479,0.056754653,-0.000196401,-0.004492345,-0.000717106
5_270_-5,5,270,-5,1,-0.001432609,0.001782178,0.029763684,-0.000137647,-0.002058086,4.47E-05
