# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_0_-5,0,0,-5,250.0,-0.0014151472506000002,0.004116809095600001,0.05385989834,-0.0007362591525799997,-0.002628518938140001,0.00019348800776200002
0_480_-5,0,480,-5,250.0,-0.13633647523999998,0.36196083258000006,4.677769205160001,-0.05177242513000001,-0.22734757943199996,0.016751132178000002
10_480_-5,10,480,-5,250.0,-1.1603353130818002,0.42234500063800007,5.512796422819998,-0.06649836118828,-0.24853089686400004,0.005554171592000001
10_0_0,10,0,0,250.0,-0.011009613367300003,-0.0005255944191999998,0.05303338680000001,-0.0007577914829599999,-0.0023606728965200005,-0.00017464071263999993
0_480_0,0,480,0,250.0,-0.17487076588399997,-0.08715977054260005,5.948223172760001,-0.07582916086080001,-0.29030762587259995,-0.003968925750000001
10_480_0,10,480,0,250.0,-1.0851895187579998,-0.0844578764568,5.11707625348,-0.06305695086138119,-0.23648169129759994,-0.01608296606
0_0_0,0,0,0,250.0,-0.0013381696723800001,-0.0005836373164800001,0.05432084890000001,-0.0008211691018799998,-0.00265292086008,-3.20483626e-05
10_120_0,10,120,0,250.0,-0.01880773296419999,0.0003678011384,0.08407324837200002,-0.0009146682915599997,-0.0036778969725400007,-0.00018584518779999996
10_120_-5,10,120,-5,250.0,-0.018134122518,0.008186404944,0.082948577928,-0.0008774102639600006,-0.0034987423404999997,0.0001533024314
10_0_-5,10,0,-5,250.0,-0.010833846024399999,0.0041713331034,0.05258317436599999,-0.0007293976918,-0.0023127908276600008,4.354312552859999e-05
0_120_-5,0,120,-5,250.0,-0.0029541375839799997,0.007285560524,0.07865326595,-0.0007323340658799999,-0.0036775890324399992,0.0003185950961999999
0_120_0,0,120,0,250.0,-0.0028282783791399994,0.0002799917352000001,0.08092049787199998,-0.00085222612582,-0.003868083512860001,1.3495738000000004e-06
