Case,Cone Angle,Omega,Pitch Angle,vz,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
10_240_-10,10,240,-10,2.5,0.034347612,0.032193863,0.193558056,-0.00470587,-0.0125148,0.002897149
10_120_-10,10,120,-10,2.5,0.016455156,0.015987387,0.094512315,-0.001737666,-0.005305622,0.00123052
5_60_-10,5,60,-10,2.5,0.005665587,0.011214225,0.066014096,-0.000940592,-0.003334946,0.000676304
0_120_-10,0,120,-10,2.5,1.14E-05,0.016906389,0.102098208,-0.001933034,-0.005282987,0.000919107
0_480_-10,0,480,-10,2.5,-0.000761963,0.925911512,5.27904108,-0.081010542,-0.25735685,0.046286434
10_60_-10,10,60,-10,2.5,0.011032871,0.010948623,0.063642,-0.000880044,-0.00341477,0.000766098
5_120_-10,5,120,-10,2.5,0.008558036,0.016463275,0.098781611,-0.001844206,-0.00530764,0.001082071
0_360_-10,0,360,-10,2.5,-0.002130757,0.377614144,2.17413276,-0.033756665,-0.103680552,0.018674203
5_360_-10,5,360,-10,2.5,0.18275406,0.377466832,2.15096166,-0.033257677,-0.108188088,0.022424754
0_60_-10,0,60,-10,2.5,-1.68E-05,0.011471401,0.067733508,-0.000982762,-0.003243506,0.00057895
10_480_-10,10,480,-10,2.5,1.27587194,1.34089622,7.41401018,-0.103127442,-0.39434192,0.089927481
10_360_-10,10,360,-10,2.5,0.340831986,0.352334846,1.9864344,-0.030015545,-0.104380562,0.024330768
5_480_-10,5,480,-10,2.5,0.490993304,1.014861648,5.7357707,-0.086790574,-0.292081446,0.060336839
0_240_-10,0,240,-10,2.5,0.000458299,0.033282989,0.203866102,-0.005119881,-0.012550055,0.002065191
5_240_-10,5,240,-10,2.5,0.017990405,0.032846241,0.201414702,-0.004998553,-0.0127106,0.002520187
#Case,Cone Angle,Omega,Pitch Angle,2.5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_60_-5,5,60,-5,2.5,0.005703505,0.005471436,0.066652846,-0.001027406,-0.003356345,0.00038282
0_480_-5,0,480,-5,2.5,-0.006204004,0.554157986,6.3755489,-0.099627842,-0.305796874,0.027194908
